rep_id,k,signal_mode,beta,n_cluster_rows,n_signal_clusters,shbeta_total,shbeta_weighted_within,shbeta_between,hric_ss_between,hric_ss_within,hric_ss_total,hric_manova_F,hric_r2_between,shbeta_abs_diff
1,12,Abundance,0,12,12,0.36953636367329,0.365777288065642,0.00375907560764812,0.880530647547463,85.6801368036608,86.5606674512083,1.01049903907944,0.0102021960035704,0.00968787927857412
2,12,Abundance,0,12,12,0.364893569554983,0.361139901583527,0.00375366797145555,0.879263955973438,84.593869500679,85.4731334566525,1.01950217786799,0.0102909469809693,0.0168341093957445
3,12,Abundance,0,12,12,0.37271955005017,0.369079050781505,0.00364049926866449,0.852755175211485,86.4535458982616,87.3063010734731,0.96774117859918,0.00977078761335089,0.0147039492975427
4,12,Abundance,0,12,12,0.37130203313607,0.367369164251641,0.00393286888442881,0.921240205565332,86.0530199045011,86.9742601100664,1.04953270070429,0.0105926269123428,0.00886195428784861
5,12,Abundance,0,12,12,0.375286619246241,0.37182664117041,0.00345997807583055,0.810469661587157,87.0971449627271,87.9076146243143,0.913409026501736,0.00922839333136521,0.00817524286000437
6,12,Abundance,0,12,12,0.365859972244488,0.362545944217049,0.00331402802743901,0.776282136771659,84.923222714021,85.6995048507927,0.897999997944184,0.0090750349844,0.00988367504403134
7,12,Abundance,0,12,12,0.364722454396689,0.360860972986079,0.00386148141060925,0.904518312975246,84.528532911537,85.4330512245123,1.05049006126017,0.0106009584286227,0.0148027170039904
8,12,Abundance,0,12,12,0.37150976285879,0.367692670030414,0.00381709282837618,0.894120675061851,86.1287983092473,87.0229189843091,1.02012001071299,0.0102970223428555,0.0139406747977959
9,12,Abundance,0,12,12,0.372413892061989,0.36862548143737,0.00378841062461947,0.887402119203173,86.3473012386738,87.2347033578769,1.00675265373214,0.0101625290433623,0.0106380633738158
10,12,Abundance,0,12,12,0.373358301928314,0.369673815770738,0.00368448615757551,0.863058719970644,86.5928644051951,87.4559231251657,0.977147771820439,0.00986927730316472,0.0136127142924918
11,12,Abundance,0,12,12,0.36939420718117,0.365628860826915,0.00376534635425516,0.881999515201851,85.6453690186329,86.5273685338348,1.01122618357345,0.0102065919239359,0.0130743549286293
12,12,Abundance,0,12,12,0.368339198991327,0.364713751990685,0.00362544700064202,0.849229312820764,85.4310127618707,86.2802420746914,0.974954153663109,0.00984727550834043,0.0147500926768947
13,12,Abundance,0,12,12,0.368228399945837,0.364560254341258,0.00366814560457998,0.859231088070614,85.3950572773966,86.2542883654672,0.986711199488641,0.00996302438333841,0.0145576442985462
14,12,Abundance,0,12,12,0.373639041934751,0.369970922969326,0.00366811896542481,0.859224848081052,86.6624591729702,87.5216840210513,0.97420052234309,0.00983217070200526,0.018752534454196
15,12,Abundance,0,12,12,0.371400716504216,0.367697534711715,0.00370318179250163,0.867438009255034,86.1299378183775,86.9973758276326,0.984606994766417,0.00994354158553907,0.0128129084218864
16,12,Abundance,0,12,12,0.373707186841102,0.36970227231434,0.00400491452676264,0.938116268384634,86.5995301021323,87.5376463705169,1.0600184144215,0.0106957512737963,0.0173781290272538
17,12,Abundance,0,12,12,0.371287255620535,0.367444307021324,0.0038429485992107,0.900177163680868,86.0706214423666,86.9707986060475,1.02272379796265,0.0103209971386745,0.0182464835732276
18,12,Abundance,0,12,12,0.369472086291619,0.365617299553364,0.00385478673825518,0.902950144415126,85.6426608912236,86.5456110356387,1.03211071967179,0.0104174965578211,0.0169456358374413
19,12,Abundance,0,12,12,0.371710167029063,0.36812182529361,0.00358834173545327,0.840537728347829,86.2293241834892,87.069861911837,0.955185036408281,0.00965062430428491,0.0169804189568345
20,12,Abundance,0,12,12,0.370092855811917,0.366346754436897,0.00374610137502,0.877491546808377,85.8135293301684,86.6910208769767,1.00328380468915,0.0101271825689329,0.0143767839534282
21,12,Abundance,0,12,12,0.372246899444234,0.3689502350469,0.00329666439733388,0.772214857989318,86.4233719368823,87.1955867948716,0.876813169390852,0.00886621505343175,0.0159808521426262
22,12,Abundance,0,12,12,0.373780080762592,0.370332390454164,0.00344769030842851,0.807591359335022,86.7471297759887,87.5547211353237,0.912771751848866,0.00922605911371335,0.00793015042712404
23,12,Abundance,0,12,12,0.367918871713032,0.36421779797113,0.0037010737419017,0.866944216803504,85.3148398620481,86.1817840788516,0.997602966394952,0.0100739039293242,0.0107649322073573
24,12,Abundance,0,12,12,0.370590454629488,0.366932562858055,0.00365789177143289,0.856829217163185,85.9507498392137,86.8075790563769,0.974808419126918,0.00984251914036727,0.0210531706323186
25,12,Abundance,0,12,12,0.375040328145766,0.371742577777284,0.00329775036848214,0.772469237251182,87.0774538466895,87.8499230839407,0.86922674738673,0.00879004568067644,0.0163047620087281
26,12,Abundance,0,12,12,0.375295578095002,0.371613076011517,0.00368250208348534,0.862593967934299,87.0471191884991,87.9097131564334,0.968144146355125,0.00977752181113357,0.0192763996337825
27,12,Abundance,0,12,12,0.370882330576396,0.367208269141516,0.00367406143488016,0.860616819678246,86.0153316294322,86.8759484491105,0.979807146481152,0.00989692718341298,0.016825738722072
28,12,Abundance,0,12,12,0.369607195050367,0.365759575611051,0.00384761943931563,0.901271267202969,85.6759878157875,86.5772590829905,1.03221252093559,0.0104169856642528,0.0119442439659369
29,12,Abundance,0,12,12,0.371407567664364,0.367797500303205,0.00361006736115901,0.845626766523093,86.1533538855692,86.9989806520923,0.961342753448047,0.009713101496833,0.0127502611351266
30,12,Abundance,0,12,12,0.371538805064682,0.367910945035187,0.00362786002949567,0.849794543766037,86.1799273237596,87.0297218675256,0.966067712609392,0.00975604014105898,0.0128307952796519
31,12,Abundance,0,12,12,0.37045867853907,0.366582548512443,0.00387613002662677,0.907949623407348,85.8687620340826,86.7767116574899,1.03473531133879,0.0104391051091852,0.014838352935254
32,12,Abundance,0,12,12,0.371254843358386,0.366959138361187,0.00429570499719805,1.00623139772978,85.9569749188408,86.9632063165706,1.14879233404756,0.011579556717937,0.0166128719671808
