"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"both",0.95,1,308,"ILR_euclidean_pc0.01",1,100
2,"both",0.95,1,308,"ILR_euclidean_pc0.1",1,100
2,"both",0.95,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",0.95,1,308,"ILR_euclidean_pc1",1,100
2,"both",0.95,1,308,"aitchison",1,100
2,"both",0.95,1,308,"aitchison_pc0.01",1,100
2,"both",0.95,1,308,"aitchison_pc0.1",1,100
2,"both",0.95,1,308,"aitchison_pc1",1,100
2,"both",0.95,1,308,"bray",1,100
2,"both",0.95,1,308,"euclidean",0.86,100
2,"both",0.95,1,308,"jaccard",1,100
2,"both",1,1,308,"AHC_euclidean",1,100
2,"both",1,1,308,"ILR_euclidean_pc0.01",1,100
2,"both",1,1,308,"ILR_euclidean_pc0.1",1,100
2,"both",1,1,308,"ILR_euclidean_pc0.5",1,100
2,"both",1,1,308,"ILR_euclidean_pc1",1,100
2,"both",1,1,308,"aitchison",1,100
2,"both",1,1,308,"aitchison_pc0.01",1,100
2,"both",1,1,308,"aitchison_pc0.1",1,100
2,"both",1,1,308,"aitchison_pc1",1,100
2,"both",1,1,308,"bray",1,100
2,"both",1,1,308,"euclidean",0.9,100
2,"both",1,1,308,"jaccard",1,100
2,"prevalence",0.05,1,308,"AHC_euclidean",0.05,100
2,"prevalence",0.05,1,308,"ILR_euclidean_pc0.01",0.05,100
2,"prevalence",0.05,1,308,"ILR_euclidean_pc0.1",0.05,100
2,"prevalence",0.05,1,308,"ILR_euclidean_pc0.5",0.06,100
2,"prevalence",0.05,1,308,"ILR_euclidean_pc1",0.06,100
2,"prevalence",0.05,1,308,"aitchison",0.06,100
2,"prevalence",0.05,1,308,"aitchison_pc0.01",0.05,100
2,"prevalence",0.05,1,308,"aitchison_pc0.1",0.05,100
2,"prevalence",0.05,1,308,"aitchison_pc1",0.05,100
2,"prevalence",0.05,1,308,"bray",0.06,100
2,"prevalence",0.05,1,308,"euclidean",0.03,100
2,"prevalence",0.05,1,308,"jaccard",0.05,100
2,"prevalence",0.1,1,308,"AHC_euclidean",0.06,100
2,"prevalence",0.1,1,308,"ILR_euclidean_pc0.01",0.07,100
2,"prevalence",0.1,1,308,"ILR_euclidean_pc0.1",0.07,100
2,"prevalence",0.1,1,308,"ILR_euclidean_pc0.5",0.07,100
2,"prevalence",0.1,1,308,"ILR_euclidean_pc1",0.08,100
2,"prevalence",0.1,1,308,"aitchison",0.08,100
2,"prevalence",0.1,1,308,"aitchison_pc0.01",0.07,100
2,"prevalence",0.1,1,308,"aitchison_pc0.1",0.07,100
2,"prevalence",0.1,1,308,"aitchison_pc1",0.09,100
2,"prevalence",0.1,1,308,"bray",0.07,100
2,"prevalence",0.1,1,308,"euclidean",0.06,100
2,"prevalence",0.1,1,308,"jaccard",0.06,100
2,"prevalence",0.15,1,308,"AHC_euclidean",0.03,100
2,"prevalence",0.15,1,308,"ILR_euclidean_pc0.01",0.06,100
2,"prevalence",0.15,1,308,"ILR_euclidean_pc0.1",0.07,100
2,"prevalence",0.15,1,308,"ILR_euclidean_pc0.5",0.07,100
2,"prevalence",0.15,1,308,"ILR_euclidean_pc1",0.05,100
2,"prevalence",0.15,1,308,"aitchison",0.06,100
2,"prevalence",0.15,1,308,"aitchison_pc0.01",0.06,100
2,"prevalence",0.15,1,308,"aitchison_pc0.1",0.07,100
2,"prevalence",0.15,1,308,"aitchison_pc1",0.06,100
2,"prevalence",0.15,1,308,"bray",0.02,100
2,"prevalence",0.15,1,308,"euclidean",0.04,100
2,"prevalence",0.15,1,308,"jaccard",0.15,100
2,"prevalence",0.2,1,308,"AHC_euclidean",0.04,100
2,"prevalence",0.2,1,308,"ILR_euclidean_pc0.01",0.17,100
2,"prevalence",0.2,1,308,"ILR_euclidean_pc0.1",0.17,100
2,"prevalence",0.2,1,308,"ILR_euclidean_pc0.5",0.17,100
2,"prevalence",0.2,1,308,"ILR_euclidean_pc1",0.15,100
2,"prevalence",0.2,1,308,"aitchison",0.16,100
2,"prevalence",0.2,1,308,"aitchison_pc0.01",0.17,100
2,"prevalence",0.2,1,308,"aitchison_pc0.1",0.17,100
2,"prevalence",0.2,1,308,"aitchison_pc1",0.15,100
2,"prevalence",0.2,1,308,"bray",0.1,100
2,"prevalence",0.2,1,308,"euclidean",0.04,100
2,"prevalence",0.2,1,308,"jaccard",0.25,100
2,"prevalence",0.25,1,308,"AHC_euclidean",0.06,100
2,"prevalence",0.25,1,308,"ILR_euclidean_pc0.01",0.24,100
2,"prevalence",0.25,1,308,"ILR_euclidean_pc0.1",0.23,100
2,"prevalence",0.25,1,308,"ILR_euclidean_pc0.5",0.19,100
2,"prevalence",0.25,1,308,"ILR_euclidean_pc1",0.18,100
2,"prevalence",0.25,1,308,"aitchison",0.19,100
2,"prevalence",0.25,1,308,"aitchison_pc0.01",0.23,100
2,"prevalence",0.25,1,308,"aitchison_pc0.1",0.24,100
2,"prevalence",0.25,1,308,"aitchison_pc1",0.18,100
2,"prevalence",0.25,1,308,"bray",0.03,100
2,"prevalence",0.25,1,308,"euclidean",0.06,100
2,"prevalence",0.25,1,308,"jaccard",0.41,100
2,"prevalence",0.3,1,308,"AHC_euclidean",0.03,100
2,"prevalence",0.3,1,308,"ILR_euclidean_pc0.01",0.27,100
2,"prevalence",0.3,1,308,"ILR_euclidean_pc0.1",0.27,100
2,"prevalence",0.3,1,308,"ILR_euclidean_pc0.5",0.23,100
2,"prevalence",0.3,1,308,"ILR_euclidean_pc1",0.22,100
2,"prevalence",0.3,1,308,"aitchison",0.22,100
2,"prevalence",0.3,1,308,"aitchison_pc0.01",0.28,100
2,"prevalence",0.3,1,308,"aitchison_pc0.1",0.26,100
2,"prevalence",0.3,1,308,"aitchison_pc1",0.22,100
2,"prevalence",0.3,1,308,"bray",0.09,100
2,"prevalence",0.3,1,308,"euclidean",0.02,100
2,"prevalence",0.3,1,308,"jaccard",0.55,100
2,"prevalence",0.35,1,308,"AHC_euclidean",0.04,100
2,"prevalence",0.35,1,308,"ILR_euclidean_pc0.01",0.44,100
2,"prevalence",0.35,1,308,"ILR_euclidean_pc0.1",0.36,100
2,"prevalence",0.35,1,308,"ILR_euclidean_pc0.5",0.35,100
2,"prevalence",0.35,1,308,"ILR_euclidean_pc1",0.32,100
2,"prevalence",0.35,1,308,"aitchison",0.34,100
2,"prevalence",0.35,1,308,"aitchison_pc0.01",0.44,100
2,"prevalence",0.35,1,308,"aitchison_pc0.1",0.4,100
2,"prevalence",0.35,1,308,"aitchison_pc1",0.33,100
2,"prevalence",0.35,1,308,"bray",0.03,100
2,"prevalence",0.35,1,308,"euclidean",0.07,100
2,"prevalence",0.35,1,308,"jaccard",0.77,100
2,"prevalence",0.4,1,308,"AHC_euclidean",0.07,100
2,"prevalence",0.4,1,308,"ILR_euclidean_pc0.01",0.58,100
2,"prevalence",0.4,1,308,"ILR_euclidean_pc0.1",0.53,100
2,"prevalence",0.4,1,308,"ILR_euclidean_pc0.5",0.47,100
2,"prevalence",0.4,1,308,"ILR_euclidean_pc1",0.45,100
2,"prevalence",0.4,1,308,"aitchison",0.47,100
2,"prevalence",0.4,1,308,"aitchison_pc0.01",0.61,100
2,"prevalence",0.4,1,308,"aitchison_pc0.1",0.53,100
2,"prevalence",0.4,1,308,"aitchison_pc1",0.44,100
2,"prevalence",0.4,1,308,"bray",0.07,100
2,"prevalence",0.4,1,308,"euclidean",0.07,100
2,"prevalence",0.4,1,308,"jaccard",0.91,100
2,"prevalence",0.45,1,308,"AHC_euclidean",0.11,100
2,"prevalence",0.45,1,308,"ILR_euclidean_pc0.01",0.78,100
2,"prevalence",0.45,1,308,"ILR_euclidean_pc0.1",0.76,100
2,"prevalence",0.45,1,308,"ILR_euclidean_pc0.5",0.65,100
2,"prevalence",0.45,1,308,"ILR_euclidean_pc1",0.61,100
2,"prevalence",0.45,1,308,"aitchison",0.65,100
2,"prevalence",0.45,1,308,"aitchison_pc0.01",0.79,100
2,"prevalence",0.45,1,308,"aitchison_pc0.1",0.72,100
2,"prevalence",0.45,1,308,"aitchison_pc1",0.6,100
2,"prevalence",0.45,1,308,"bray",0.11,100
2,"prevalence",0.45,1,308,"euclidean",0.05,100
2,"prevalence",0.45,1,308,"jaccard",1,100
2,"prevalence",0.5,1,308,"AHC_euclidean",0.1,100
2,"prevalence",0.5,1,308,"ILR_euclidean_pc0.01",0.88,100
2,"prevalence",0.5,1,308,"ILR_euclidean_pc0.1",0.82,100
2,"prevalence",0.5,1,308,"ILR_euclidean_pc0.5",0.78,100
2,"prevalence",0.5,1,308,"ILR_euclidean_pc1",0.76,100
2,"prevalence",0.5,1,308,"aitchison",0.79,100
2,"prevalence",0.5,1,308,"aitchison_pc0.01",0.87,100
2,"prevalence",0.5,1,308,"aitchison_pc0.1",0.82,100
2,"prevalence",0.5,1,308,"aitchison_pc1",0.75,100
2,"prevalence",0.5,1,308,"bray",0.13,100
2,"prevalence",0.5,1,308,"euclidean",0.07,100
2,"prevalence",0.5,1,308,"jaccard",1,100
2,"prevalence",0.55,1,308,"AHC_euclidean",0.07,100
2,"prevalence",0.55,1,308,"ILR_euclidean_pc0.01",0.98,100
2,"prevalence",0.55,1,308,"ILR_euclidean_pc0.1",0.97,100
2,"prevalence",0.55,1,308,"ILR_euclidean_pc0.5",0.94,100
2,"prevalence",0.55,1,308,"ILR_euclidean_pc1",0.93,100
2,"prevalence",0.55,1,308,"aitchison",0.94,100
2,"prevalence",0.55,1,308,"aitchison_pc0.01",0.98,100
2,"prevalence",0.55,1,308,"aitchison_pc0.1",0.97,100
2,"prevalence",0.55,1,308,"aitchison_pc1",0.94,100
2,"prevalence",0.55,1,308,"bray",0.08,100
2,"prevalence",0.55,1,308,"euclidean",0.05,100
2,"prevalence",0.55,1,308,"jaccard",1,100
2,"prevalence",0.6,1,308,"AHC_euclidean",0.13,100
2,"prevalence",0.6,1,308,"ILR_euclidean_pc0.01",1,100
2,"prevalence",0.6,1,308,"ILR_euclidean_pc0.1",1,100
2,"prevalence",0.6,1,308,"ILR_euclidean_pc0.5",0.95,100
2,"prevalence",0.6,1,308,"ILR_euclidean_pc1",0.95,100
2,"prevalence",0.6,1,308,"aitchison",0.96,100
2,"prevalence",0.6,1,308,"aitchison_pc0.01",1,100
2,"prevalence",0.6,1,308,"aitchison_pc0.1",0.99,100
2,"prevalence",0.6,1,308,"aitchison_pc1",0.95,100
2,"prevalence",0.6,1,308,"bray",0.04,100
2,"prevalence",0.6,1,308,"euclidean",0.08,100
2,"prevalence",0.6,1,308,"jaccard",1,100
2,"prevalence",0.65,1,308,"AHC_euclidean",0.13,100
2,"prevalence",0.65,1,308,"ILR_euclidean_pc0.01",1,100
2,"prevalence",0.65,1,308,"ILR_euclidean_pc0.1",1,100
2,"prevalence",0.65,1,308,"ILR_euclidean_pc0.5",0.99,100
2,"prevalence",0.65,1,308,"ILR_euclidean_pc1",0.99,100
2,"prevalence",0.65,1,308,"aitchison",0.99,100
2,"prevalence",0.65,1,308,"aitchison_pc0.01",1,100
2,"prevalence",0.65,1,308,"aitchison_pc0.1",1,100
2,"prevalence",0.65,1,308,"aitchison_pc1",0.99,100
2,"prevalence",0.65,1,308,"bray",0.06,100
2,"prevalence",0.65,1,308,"euclidean",0.04,100
2,"prevalence",0.65,1,308,"jaccard",1,100
2,"prevalence",0.7,1,308,"AHC_euclidean",0.18,100
2,"prevalence",0.7,1,308,"ILR_euclidean_pc0.01",1,100
2,"prevalence",0.7,1,308,"ILR_euclidean_pc0.1",1,100
2,"prevalence",0.7,1,308,"ILR_euclidean_pc0.5",1,100
2,"prevalence",0.7,1,308,"ILR_euclidean_pc1",1,100
2,"prevalence",0.7,1,308,"aitchison",1,100
2,"prevalence",0.7,1,308,"aitchison_pc0.01",1,100
2,"prevalence",0.7,1,308,"aitchison_pc0.1",1,100
2,"prevalence",0.7,1,308,"aitchison_pc1",1,100
2,"prevalence",0.7,1,308,"bray",0.14,100
2,"prevalence",0.7,1,308,"euclidean",0.03,100
2,"prevalence",0.7,1,308,"jaccard",1,100
2,"prevalence",0.75,1,308,"AHC_euclidean",0.37,100
2,"prevalence",0.75,1,308,"ILR_euclidean_pc0.01",1,100
2,"prevalence",0.75,1,308,"ILR_euclidean_pc0.1",1,100
2,"prevalence",0.75,1,308,"ILR_euclidean_pc0.5",1,100
2,"prevalence",0.75,1,308,"ILR_euclidean_pc1",1,100
2,"prevalence",0.75,1,308,"aitchison",1,100
2,"prevalence",0.75,1,308,"aitchison_pc0.01",1,100
2,"prevalence",0.75,1,308,"aitchison_pc0.1",1,100
2,"prevalence",0.75,1,308,"aitchison_pc1",1,100
2,"prevalence",0.75,1,308,"bray",0.26,100
2,"prevalence",0.75,1,308,"euclidean",0.11,100
2,"prevalence",0.75,1,308,"jaccard",1,100
2,"prevalence",0.8,1,308,"AHC_euclidean",0.27,100
2,"prevalence",0.8,1,308,"ILR_euclidean_pc0.01",1,100
2,"prevalence",0.8,1,308,"ILR_euclidean_pc0.1",1,100
2,"prevalence",0.8,1,308,"ILR_euclidean_pc0.5",1,100
2,"prevalence",0.8,1,308,"ILR_euclidean_pc1",1,100
2,"prevalence",0.8,1,308,"aitchison",1,100
2,"prevalence",0.8,1,308,"aitchison_pc0.01",1,100
2,"prevalence",0.8,1,308,"aitchison_pc0.1",1,100
2,"prevalence",0.8,1,308,"aitchison_pc1",1,100
2,"prevalence",0.8,1,308,"bray",0.24,100
2,"prevalence",0.8,1,308,"euclidean",0.07,100
2,"prevalence",0.8,1,308,"jaccard",1,100
2,"prevalence",0.85,1,308,"AHC_euclidean",0.38,100
2,"prevalence",0.85,1,308,"ILR_euclidean_pc0.01",1,100
2,"prevalence",0.85,1,308,"ILR_euclidean_pc0.1",1,100
2,"prevalence",0.85,1,308,"ILR_euclidean_pc0.5",1,100
2,"prevalence",0.85,1,308,"ILR_euclidean_pc1",1,100
2,"prevalence",0.85,1,308,"aitchison",1,100
2,"prevalence",0.85,1,308,"aitchison_pc0.01",1,100
2,"prevalence",0.85,1,308,"aitchison_pc0.1",1,100
2,"prevalence",0.85,1,308,"aitchison_pc1",1,100
2,"prevalence",0.85,1,308,"bray",0.29,100
2,"prevalence",0.85,1,308,"euclidean",0.05,100
2,"prevalence",0.85,1,308,"jaccard",1,100
2,"prevalence",0.9,1,308,"AHC_euclidean",0.34,100
2,"prevalence",0.9,1,308,"ILR_euclidean_pc0.01",1,100
2,"prevalence",0.9,1,308,"ILR_euclidean_pc0.1",1,100
2,"prevalence",0.9,1,308,"ILR_euclidean_pc0.5",1,100
2,"prevalence",0.9,1,308,"ILR_euclidean_pc1",1,100
2,"prevalence",0.9,1,308,"aitchison",1,100
2,"prevalence",0.9,1,308,"aitchison_pc0.01",1,100
2,"prevalence",0.9,1,308,"aitchison_pc0.1",1,100
2,"prevalence",0.9,1,308,"aitchison_pc1",1,100
2,"prevalence",0.9,1,308,"bray",0.3,100
2,"prevalence",0.9,1,308,"euclidean",0.09,100
2,"prevalence",0.9,1,308,"jaccard",1,100
2,"prevalence",0.95,1,308,"AHC_euclidean",0.47,100
2,"prevalence",0.95,1,308,"ILR_euclidean_pc0.01",1,100
2,"prevalence",0.95,1,308,"ILR_euclidean_pc0.1",1,100
2,"prevalence",0.95,1,308,"ILR_euclidean_pc0.5",1,100
2,"prevalence",0.95,1,308,"ILR_euclidean_pc1",1,100
2,"prevalence",0.95,1,308,"aitchison",1,100
2,"prevalence",0.95,1,308,"aitchison_pc0.01",1,100
2,"prevalence",0.95,1,308,"aitchison_pc0.1",1,100
2,"prevalence",0.95,1,308,"aitchison_pc1",1,100
2,"prevalence",0.95,1,308,"bray",0.37,100
2,"prevalence",0.95,1,308,"euclidean",0.06,100
2,"prevalence",0.95,1,308,"jaccard",1,100
2,"prevalence",1,1,308,"AHC_euclidean",0.59,100
2,"prevalence",1,1,308,"ILR_euclidean_pc0.01",1,100
2,"prevalence",1,1,308,"ILR_euclidean_pc0.1",1,100
2,"prevalence",1,1,308,"ILR_euclidean_pc0.5",1,100
2,"prevalence",1,1,308,"ILR_euclidean_pc1",1,100
2,"prevalence",1,1,308,"aitchison",1,100
2,"prevalence",1,1,308,"aitchison_pc0.01",1,100
2,"prevalence",1,1,308,"aitchison_pc0.1",1,100
2,"prevalence",1,1,308,"aitchison_pc1",1,100
2,"prevalence",1,1,308,"bray",0.45,100
2,"prevalence",1,1,308,"euclidean",0.09,100
2,"prevalence",1,1,308,"jaccard",1,100
4,"abundance",0.05,2,154,"AHC_euclidean",0.02,100
4,"abundance",0.05,2,154,"ILR_euclidean_pc0.01",0.04,100
4,"abundance",0.05,2,154,"ILR_euclidean_pc0.1",0.03,100
4,"abundance",0.05,2,154,"ILR_euclidean_pc0.5",0.01,100
4,"abundance",0.05,2,154,"ILR_euclidean_pc1",0.03,100
4,"abundance",0.05,2,154,"aitchison",0.01,100
4,"abundance",0.05,2,154,"aitchison_pc0.01",0.03,100
4,"abundance",0.05,2,154,"aitchison_pc0.1",0.04,100
4,"abundance",0.05,2,154,"aitchison_pc1",0.02,100
4,"abundance",0.05,2,154,"bray",0.01,100
4,"abundance",0.05,2,154,"euclidean",0.03,100
4,"abundance",0.05,2,154,"jaccard",0.04,100
4,"abundance",0.1,2,154,"AHC_euclidean",0.04,100
4,"abundance",0.1,2,154,"ILR_euclidean_pc0.01",0.03,100
4,"abundance",0.1,2,154,"ILR_euclidean_pc0.1",0.03,100
4,"abundance",0.1,2,154,"ILR_euclidean_pc0.5",0.02,100
4,"abundance",0.1,2,154,"ILR_euclidean_pc1",0.04,100
4,"abundance",0.1,2,154,"aitchison",0.02,100
4,"abundance",0.1,2,154,"aitchison_pc0.01",0.04,100
4,"abundance",0.1,2,154,"aitchison_pc0.1",0.03,100
4,"abundance",0.1,2,154,"aitchison_pc1",0.02,100
4,"abundance",0.1,2,154,"bray",0.06,100
4,"abundance",0.1,2,154,"euclidean",0.07,100
4,"abundance",0.1,2,154,"jaccard",0.04,100
4,"abundance",0.15,2,154,"AHC_euclidean",0.08,100
4,"abundance",0.15,2,154,"ILR_euclidean_pc0.01",0.05,100
4,"abundance",0.15,2,154,"ILR_euclidean_pc0.1",0.06,100
4,"abundance",0.15,2,154,"ILR_euclidean_pc0.5",0.06,100
4,"abundance",0.15,2,154,"ILR_euclidean_pc1",0.05,100
4,"abundance",0.15,2,154,"aitchison",0.06,100
4,"abundance",0.15,2,154,"aitchison_pc0.01",0.05,100
4,"abundance",0.15,2,154,"aitchison_pc0.1",0.05,100
4,"abundance",0.15,2,154,"aitchison_pc1",0.06,100
4,"abundance",0.15,2,154,"bray",0.08,100
4,"abundance",0.15,2,154,"euclidean",0.08,100
4,"abundance",0.15,2,154,"jaccard",0.03,100
4,"abundance",0.2,2,154,"AHC_euclidean",0.1,100
4,"abundance",0.2,2,154,"ILR_euclidean_pc0.01",0.04,100
4,"abundance",0.2,2,154,"ILR_euclidean_pc0.1",0.04,100
4,"abundance",0.2,2,154,"ILR_euclidean_pc0.5",0.03,100
4,"abundance",0.2,2,154,"ILR_euclidean_pc1",0.03,100
4,"abundance",0.2,2,154,"aitchison",0.03,100
4,"abundance",0.2,2,154,"aitchison_pc0.01",0.03,100
4,"abundance",0.2,2,154,"aitchison_pc0.1",0.03,100
4,"abundance",0.2,2,154,"aitchison_pc1",0.04,100
4,"abundance",0.2,2,154,"bray",0.09,100
4,"abundance",0.2,2,154,"euclidean",0.1,100
4,"abundance",0.2,2,154,"jaccard",0.02,100
4,"abundance",0.25,2,154,"AHC_euclidean",0.08,100
4,"abundance",0.25,2,154,"ILR_euclidean_pc0.01",0.08,100
4,"abundance",0.25,2,154,"ILR_euclidean_pc0.1",0.09,100
4,"abundance",0.25,2,154,"ILR_euclidean_pc0.5",0.09,100
4,"abundance",0.25,2,154,"ILR_euclidean_pc1",0.09,100
4,"abundance",0.25,2,154,"aitchison",0.09,100
4,"abundance",0.25,2,154,"aitchison_pc0.01",0.09,100
4,"abundance",0.25,2,154,"aitchison_pc0.1",0.09,100
4,"abundance",0.25,2,154,"aitchison_pc1",0.09,100
4,"abundance",0.25,2,154,"bray",0.06,100
4,"abundance",0.25,2,154,"euclidean",0.06,100
4,"abundance",0.25,2,154,"jaccard",0.05,100
4,"abundance",0.3,2,154,"AHC_euclidean",0.11,100
4,"abundance",0.3,2,154,"ILR_euclidean_pc0.01",0.08,100
4,"abundance",0.3,2,154,"ILR_euclidean_pc0.1",0.07,100
4,"abundance",0.3,2,154,"ILR_euclidean_pc0.5",0.06,100
4,"abundance",0.3,2,154,"ILR_euclidean_pc1",0.06,100
4,"abundance",0.3,2,154,"aitchison",0.07,100
4,"abundance",0.3,2,154,"aitchison_pc0.01",0.07,100
4,"abundance",0.3,2,154,"aitchison_pc0.1",0.08,100
4,"abundance",0.3,2,154,"aitchison_pc1",0.06,100
4,"abundance",0.3,2,154,"bray",0.09,100
4,"abundance",0.3,2,154,"euclidean",0.11,100
4,"abundance",0.3,2,154,"jaccard",0.08,100
4,"abundance",0.35,2,154,"AHC_euclidean",0.17,100
4,"abundance",0.35,2,154,"ILR_euclidean_pc0.01",0.08,100
4,"abundance",0.35,2,154,"ILR_euclidean_pc0.1",0.08,100
4,"abundance",0.35,2,154,"ILR_euclidean_pc0.5",0.07,100
4,"abundance",0.35,2,154,"ILR_euclidean_pc1",0.08,100
4,"abundance",0.35,2,154,"aitchison",0.07,100
4,"abundance",0.35,2,154,"aitchison_pc0.01",0.08,100
4,"abundance",0.35,2,154,"aitchison_pc0.1",0.08,100
4,"abundance",0.35,2,154,"aitchison_pc1",0.07,100
4,"abundance",0.35,2,154,"bray",0.22,100
4,"abundance",0.35,2,154,"euclidean",0.2,100
4,"abundance",0.35,2,154,"jaccard",0.04,100
4,"abundance",0.4,2,154,"AHC_euclidean",0.24,100
4,"abundance",0.4,2,154,"ILR_euclidean_pc0.01",0.05,100
4,"abundance",0.4,2,154,"ILR_euclidean_pc0.1",0.05,100
4,"abundance",0.4,2,154,"ILR_euclidean_pc0.5",0.06,100
4,"abundance",0.4,2,154,"ILR_euclidean_pc1",0.08,100
4,"abundance",0.4,2,154,"aitchison",0.07,100
4,"abundance",0.4,2,154,"aitchison_pc0.01",0.03,100
4,"abundance",0.4,2,154,"aitchison_pc0.1",0.06,100
4,"abundance",0.4,2,154,"aitchison_pc1",0.07,100
4,"abundance",0.4,2,154,"bray",0.28,100
4,"abundance",0.4,2,154,"euclidean",0.19,100
4,"abundance",0.4,2,154,"jaccard",0.06,100
4,"abundance",0.45,2,154,"AHC_euclidean",0.26,100
4,"abundance",0.45,2,154,"ILR_euclidean_pc0.01",0.07,100
4,"abundance",0.45,2,154,"ILR_euclidean_pc0.1",0.08,100
4,"abundance",0.45,2,154,"ILR_euclidean_pc0.5",0.07,100
4,"abundance",0.45,2,154,"ILR_euclidean_pc1",0.1,100
4,"abundance",0.45,2,154,"aitchison",0.09,100
4,"abundance",0.45,2,154,"aitchison_pc0.01",0.06,100
4,"abundance",0.45,2,154,"aitchison_pc0.1",0.08,100
4,"abundance",0.45,2,154,"aitchison_pc1",0.09,100
4,"abundance",0.45,2,154,"bray",0.32,100
4,"abundance",0.45,2,154,"euclidean",0.2,100
4,"abundance",0.45,2,154,"jaccard",0.05,100
4,"abundance",0.5,2,154,"AHC_euclidean",0.33,100
4,"abundance",0.5,2,154,"ILR_euclidean_pc0.01",0.1,100
4,"abundance",0.5,2,154,"ILR_euclidean_pc0.1",0.1,100
4,"abundance",0.5,2,154,"ILR_euclidean_pc0.5",0.11,100
4,"abundance",0.5,2,154,"ILR_euclidean_pc1",0.11,100
4,"abundance",0.5,2,154,"aitchison",0.1,100
4,"abundance",0.5,2,154,"aitchison_pc0.01",0.09,100
4,"abundance",0.5,2,154,"aitchison_pc0.1",0.1,100
4,"abundance",0.5,2,154,"aitchison_pc1",0.1,100
4,"abundance",0.5,2,154,"bray",0.36,100
4,"abundance",0.5,2,154,"euclidean",0.21,100
4,"abundance",0.5,2,154,"jaccard",0.1,100
4,"abundance",0.55,2,154,"AHC_euclidean",0.42,100
4,"abundance",0.55,2,154,"ILR_euclidean_pc0.01",0.07,100
4,"abundance",0.55,2,154,"ILR_euclidean_pc0.1",0.06,100
4,"abundance",0.55,2,154,"ILR_euclidean_pc0.5",0.07,100
4,"abundance",0.55,2,154,"ILR_euclidean_pc1",0.1,100
4,"abundance",0.55,2,154,"aitchison",0.09,100
4,"abundance",0.55,2,154,"aitchison_pc0.01",0.07,100
4,"abundance",0.55,2,154,"aitchison_pc0.1",0.07,100
4,"abundance",0.55,2,154,"aitchison_pc1",0.07,100
4,"abundance",0.55,2,154,"bray",0.45,100
4,"abundance",0.55,2,154,"euclidean",0.29,100
4,"abundance",0.55,2,154,"jaccard",0.05,100
4,"abundance",0.6,2,154,"AHC_euclidean",0.57,100
4,"abundance",0.6,2,154,"ILR_euclidean_pc0.01",0.05,100
4,"abundance",0.6,2,154,"ILR_euclidean_pc0.1",0.07,100
4,"abundance",0.6,2,154,"ILR_euclidean_pc0.5",0.1,100
4,"abundance",0.6,2,154,"ILR_euclidean_pc1",0.14,100
4,"abundance",0.6,2,154,"aitchison",0.08,100
4,"abundance",0.6,2,154,"aitchison_pc0.01",0.04,100
4,"abundance",0.6,2,154,"aitchison_pc0.1",0.07,100
4,"abundance",0.6,2,154,"aitchison_pc1",0.13,100
4,"abundance",0.6,2,154,"bray",0.66,100
4,"abundance",0.6,2,154,"euclidean",0.4,100
4,"abundance",0.6,2,154,"jaccard",0.04,100
4,"abundance",0.65,2,154,"AHC_euclidean",0.7,100
4,"abundance",0.65,2,154,"ILR_euclidean_pc0.01",0.08,100
4,"abundance",0.65,2,154,"ILR_euclidean_pc0.1",0.11,100
4,"abundance",0.65,2,154,"ILR_euclidean_pc0.5",0.16,100
4,"abundance",0.65,2,154,"ILR_euclidean_pc1",0.17,100
4,"abundance",0.65,2,154,"aitchison",0.15,100
4,"abundance",0.65,2,154,"aitchison_pc0.01",0.08,100
4,"abundance",0.65,2,154,"aitchison_pc0.1",0.11,100
4,"abundance",0.65,2,154,"aitchison_pc1",0.18,100
4,"abundance",0.65,2,154,"bray",0.78,100
4,"abundance",0.65,2,154,"euclidean",0.47,100
4,"abundance",0.65,2,154,"jaccard",0.04,100
4,"abundance",0.7,2,154,"AHC_euclidean",0.72,100
4,"abundance",0.7,2,154,"ILR_euclidean_pc0.01",0.07,100
4,"abundance",0.7,2,154,"ILR_euclidean_pc0.1",0.09,100
4,"abundance",0.7,2,154,"ILR_euclidean_pc0.5",0.14,100
4,"abundance",0.7,2,154,"ILR_euclidean_pc1",0.14,100
4,"abundance",0.7,2,154,"aitchison",0.14,100
4,"abundance",0.7,2,154,"aitchison_pc0.01",0.07,100
4,"abundance",0.7,2,154,"aitchison_pc0.1",0.07,100
4,"abundance",0.7,2,154,"aitchison_pc1",0.13,100
4,"abundance",0.7,2,154,"bray",0.78,100
4,"abundance",0.7,2,154,"euclidean",0.48,100
4,"abundance",0.7,2,154,"jaccard",0.06,100
4,"abundance",0.75,2,154,"AHC_euclidean",0.88,100
4,"abundance",0.75,2,154,"ILR_euclidean_pc0.01",0.07,100
4,"abundance",0.75,2,154,"ILR_euclidean_pc0.1",0.13,100
4,"abundance",0.75,2,154,"ILR_euclidean_pc0.5",0.22,100
4,"abundance",0.75,2,154,"ILR_euclidean_pc1",0.25,100
4,"abundance",0.75,2,154,"aitchison",0.21,100
4,"abundance",0.75,2,154,"aitchison_pc0.01",0.08,100
4,"abundance",0.75,2,154,"aitchison_pc0.1",0.15,100
4,"abundance",0.75,2,154,"aitchison_pc1",0.26,100
4,"abundance",0.75,2,154,"bray",0.9,100
4,"abundance",0.75,2,154,"euclidean",0.6,100
