"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"abundance",0.4,1,308,"ILR_euclidean_pc0.1",0.12,100
2,"abundance",0.4,1,308,"ILR_euclidean_pc0.5",0.12,100
2,"abundance",0.4,1,308,"ILR_euclidean_pc1",0.13,100
2,"abundance",0.4,1,308,"aitchison",0.11,100
2,"abundance",0.4,1,308,"aitchison_pc0.01",0.1,100
2,"abundance",0.4,1,308,"aitchison_pc0.1",0.11,100
2,"abundance",0.4,1,308,"aitchison_pc1",0.14,100
2,"abundance",0.4,1,308,"bray",0.32,100
2,"abundance",0.4,1,308,"euclidean",0.16,100
2,"abundance",0.4,1,308,"jaccard",0.05,100
2,"abundance",0.45,1,308,"AHC_euclidean",0.37,100
2,"abundance",0.45,1,308,"ILR_euclidean_pc0.01",0.08,100
2,"abundance",0.45,1,308,"ILR_euclidean_pc0.1",0.11,100
2,"abundance",0.45,1,308,"ILR_euclidean_pc0.5",0.12,100
2,"abundance",0.45,1,308,"ILR_euclidean_pc1",0.14,100
2,"abundance",0.45,1,308,"aitchison",0.12,100
2,"abundance",0.45,1,308,"aitchison_pc0.01",0.1,100
2,"abundance",0.45,1,308,"aitchison_pc0.1",0.11,100
2,"abundance",0.45,1,308,"aitchison_pc1",0.15,100
2,"abundance",0.45,1,308,"bray",0.38,100
2,"abundance",0.45,1,308,"euclidean",0.21,100
2,"abundance",0.45,1,308,"jaccard",0.07,100
2,"abundance",0.5,1,308,"AHC_euclidean",0.43,100
2,"abundance",0.5,1,308,"ILR_euclidean_pc0.01",0.13,100
2,"abundance",0.5,1,308,"ILR_euclidean_pc0.1",0.16,100
2,"abundance",0.5,1,308,"ILR_euclidean_pc0.5",0.21,100
2,"abundance",0.5,1,308,"ILR_euclidean_pc1",0.21,100
2,"abundance",0.5,1,308,"aitchison",0.21,100
2,"abundance",0.5,1,308,"aitchison_pc0.01",0.14,100
2,"abundance",0.5,1,308,"aitchison_pc0.1",0.15,100
2,"abundance",0.5,1,308,"aitchison_pc1",0.21,100
2,"abundance",0.5,1,308,"bray",0.53,100
2,"abundance",0.5,1,308,"euclidean",0.26,100
2,"abundance",0.5,1,308,"jaccard",0.09,100
2,"abundance",0.55,1,308,"AHC_euclidean",0.54,100
2,"abundance",0.55,1,308,"ILR_euclidean_pc0.01",0.05,100
2,"abundance",0.55,1,308,"ILR_euclidean_pc0.1",0.1,100
2,"abundance",0.55,1,308,"ILR_euclidean_pc0.5",0.13,100
2,"abundance",0.55,1,308,"ILR_euclidean_pc1",0.16,100
2,"abundance",0.55,1,308,"aitchison",0.12,100
2,"abundance",0.55,1,308,"aitchison_pc0.01",0.05,100
2,"abundance",0.55,1,308,"aitchison_pc0.1",0.09,100
2,"abundance",0.55,1,308,"aitchison_pc1",0.15,100
2,"abundance",0.55,1,308,"bray",0.58,100
2,"abundance",0.55,1,308,"euclidean",0.23,100
2,"abundance",0.55,1,308,"jaccard",0.06,100
2,"abundance",0.6,1,308,"AHC_euclidean",0.62,100
2,"abundance",0.6,1,308,"ILR_euclidean_pc0.01",0.07,100
2,"abundance",0.6,1,308,"ILR_euclidean_pc0.1",0.13,100
2,"abundance",0.6,1,308,"ILR_euclidean_pc0.5",0.19,100
2,"abundance",0.6,1,308,"ILR_euclidean_pc1",0.2,100
2,"abundance",0.6,1,308,"aitchison",0.18,100
2,"abundance",0.6,1,308,"aitchison_pc0.01",0.08,100
2,"abundance",0.6,1,308,"aitchison_pc0.1",0.1,100
2,"abundance",0.6,1,308,"aitchison_pc1",0.2,100
2,"abundance",0.6,1,308,"bray",0.71,100
2,"abundance",0.6,1,308,"euclidean",0.35,100
2,"abundance",0.6,1,308,"jaccard",0.04,100
2,"abundance",0.65,1,308,"AHC_euclidean",0.6,100
2,"abundance",0.65,1,308,"ILR_euclidean_pc0.01",0.1,100
2,"abundance",0.65,1,308,"ILR_euclidean_pc0.1",0.12,100
2,"abundance",0.65,1,308,"ILR_euclidean_pc0.5",0.2,100
2,"abundance",0.65,1,308,"ILR_euclidean_pc1",0.22,100
2,"abundance",0.65,1,308,"aitchison",0.19,100
2,"abundance",0.65,1,308,"aitchison_pc0.01",0.07,100
2,"abundance",0.65,1,308,"aitchison_pc0.1",0.14,100
2,"abundance",0.65,1,308,"aitchison_pc1",0.23,100
2,"abundance",0.65,1,308,"bray",0.67,100
2,"abundance",0.65,1,308,"euclidean",0.37,100
2,"abundance",0.65,1,308,"jaccard",0.04,100
2,"abundance",0.7,1,308,"AHC_euclidean",0.75,100
2,"abundance",0.7,1,308,"ILR_euclidean_pc0.01",0.11,100
2,"abundance",0.7,1,308,"ILR_euclidean_pc0.1",0.15,100
2,"abundance",0.7,1,308,"ILR_euclidean_pc0.5",0.2,100
2,"abundance",0.7,1,308,"ILR_euclidean_pc1",0.25,100
2,"abundance",0.7,1,308,"aitchison",0.21,100
2,"abundance",0.7,1,308,"aitchison_pc0.01",0.11,100
2,"abundance",0.7,1,308,"aitchison_pc0.1",0.15,100
2,"abundance",0.7,1,308,"aitchison_pc1",0.25,100
2,"abundance",0.7,1,308,"bray",0.83,100
2,"abundance",0.7,1,308,"euclidean",0.33,100
2,"abundance",0.7,1,308,"jaccard",0.06,100
2,"abundance",0.75,1,308,"AHC_euclidean",0.85,100
2,"abundance",0.75,1,308,"ILR_euclidean_pc0.01",0.14,100
2,"abundance",0.75,1,308,"ILR_euclidean_pc0.1",0.17,100
2,"abundance",0.75,1,308,"ILR_euclidean_pc0.5",0.27,100
2,"abundance",0.75,1,308,"ILR_euclidean_pc1",0.34,100
2,"abundance",0.75,1,308,"aitchison",0.26,100
2,"abundance",0.75,1,308,"aitchison_pc0.01",0.12,100
2,"abundance",0.75,1,308,"aitchison_pc0.1",0.16,100
2,"abundance",0.75,1,308,"aitchison_pc1",0.32,100
2,"abundance",0.75,1,308,"bray",0.89,100
