"panel","k","beta","method","empirical_power","n_replicates"
"Abundance",2,0.4,"Bray-Curtis",0.32,100
"Abundance",2,0.4,"Euclidean",0.16,100
"Abundance",2,0.4,"Jaccard",0.05,100
"Abundance",2,0.45,"HRIC distance",0.37,100
"Abundance",2,0.45,"ILR-Euclidean (0.01)",0.08,100
"Abundance",2,0.45,"ILR-Euclidean (0.1)",0.11,100
"Abundance",2,0.45,"ILR-Euclidean (0.5)",0.12,100
"Abundance",2,0.45,"ILR-Euclidean (1)",0.14,100
"Abundance",2,0.45,"Aitchison (0.5)",0.12,100
"Abundance",2,0.45,"Aitchison (0.01)",0.1,100
"Abundance",2,0.45,"Aitchison (0.1)",0.11,100
"Abundance",2,0.45,"Aitchison (1)",0.15,100
"Abundance",2,0.45,"Bray-Curtis",0.38,100
"Abundance",2,0.45,"Euclidean",0.21,100
"Abundance",2,0.45,"Jaccard",0.07,100
"Abundance",2,0.5,"HRIC distance",0.43,100
"Abundance",2,0.5,"ILR-Euclidean (0.01)",0.13,100
"Abundance",2,0.5,"ILR-Euclidean (0.1)",0.16,100
"Abundance",2,0.5,"ILR-Euclidean (0.5)",0.21,100
"Abundance",2,0.5,"ILR-Euclidean (1)",0.21,100
"Abundance",2,0.5,"Aitchison (0.5)",0.21,100
"Abundance",2,0.5,"Aitchison (0.01)",0.14,100
"Abundance",2,0.5,"Aitchison (0.1)",0.15,100
"Abundance",2,0.5,"Aitchison (1)",0.21,100
"Abundance",2,0.5,"Bray-Curtis",0.53,100
"Abundance",2,0.5,"Euclidean",0.26,100
"Abundance",2,0.5,"Jaccard",0.09,100
"Abundance",2,0.55,"HRIC distance",0.54,100
"Abundance",2,0.55,"ILR-Euclidean (0.01)",0.05,100
"Abundance",2,0.55,"ILR-Euclidean (0.1)",0.1,100
"Abundance",2,0.55,"ILR-Euclidean (0.5)",0.13,100
"Abundance",2,0.55,"ILR-Euclidean (1)",0.16,100
"Abundance",2,0.55,"Aitchison (0.5)",0.12,100
"Abundance",2,0.55,"Aitchison (0.01)",0.05,100
"Abundance",2,0.55,"Aitchison (0.1)",0.09,100
"Abundance",2,0.55,"Aitchison (1)",0.15,100
"Abundance",2,0.55,"Bray-Curtis",0.58,100
"Abundance",2,0.55,"Euclidean",0.23,100
"Abundance",2,0.55,"Jaccard",0.06,100
"Abundance",2,0.6,"HRIC distance",0.62,100
"Abundance",2,0.6,"ILR-Euclidean (0.01)",0.07,100
"Abundance",2,0.6,"ILR-Euclidean (0.1)",0.13,100
"Abundance",2,0.6,"ILR-Euclidean (0.5)",0.19,100
"Abundance",2,0.6,"ILR-Euclidean (1)",0.2,100
"Abundance",2,0.6,"Aitchison (0.5)",0.18,100
"Abundance",2,0.6,"Aitchison (0.01)",0.08,100
"Abundance",2,0.6,"Aitchison (0.1)",0.1,100
"Abundance",2,0.6,"Aitchison (1)",0.2,100
"Abundance",2,0.6,"Bray-Curtis",0.71,100
"Abundance",2,0.6,"Euclidean",0.35,100
"Abundance",2,0.6,"Jaccard",0.04,100
