"BootstrapIteration","Outcome","WindowEnd","Window","Estimate"
1401,"HRIC distance to personal baseline",30,"Day 1-30",-0.328794767406419
1401,"HRIC alpha diversity",60,"Day 1-60",0.0207423324061436
1401,"HRIC distance to personal baseline",60,"Day 1-60",-0.363784916412126
1402,"HRIC alpha diversity",30,"Day 1-30",0.0300104169619916
1402,"HRIC distance to personal baseline",30,"Day 1-30",-0.36610018729167
1402,"HRIC alpha diversity",60,"Day 1-60",0.0116822244066421
1402,"HRIC distance to personal baseline",60,"Day 1-60",-0.249777979616197
1403,"HRIC alpha diversity",30,"Day 1-30",0.00975185227070613
1403,"HRIC distance to personal baseline",30,"Day 1-30",-0.35028597350541
1403,"HRIC alpha diversity",60,"Day 1-60",0.00185103507031521
1403,"HRIC distance to personal baseline",60,"Day 1-60",-0.235805799642043
1404,"HRIC alpha diversity",30,"Day 1-30",0.00210393872108796
1404,"HRIC distance to personal baseline",30,"Day 1-30",-0.442943967582452
1404,"HRIC alpha diversity",60,"Day 1-60",0.0134763128029271
1404,"HRIC distance to personal baseline",60,"Day 1-60",-0.506719597364164
1405,"HRIC alpha diversity",30,"Day 1-30",0.00842243763431061
1405,"HRIC distance to personal baseline",30,"Day 1-30",-0.410081456202372
1405,"HRIC alpha diversity",60,"Day 1-60",0.0128892802242515
1405,"HRIC distance to personal baseline",60,"Day 1-60",-0.407708953677093
1406,"HRIC alpha diversity",30,"Day 1-30",0.0203638330655402
1406,"HRIC distance to personal baseline",30,"Day 1-30",-0.335938427254203
1406,"HRIC alpha diversity",60,"Day 1-60",0.0208003526088731
1406,"HRIC distance to personal baseline",60,"Day 1-60",-0.306526077440167
1407,"HRIC alpha diversity",30,"Day 1-30",0.0296163519335983
1407,"HRIC distance to personal baseline",30,"Day 1-30",-0.608096842838873
1407,"HRIC alpha diversity",60,"Day 1-60",0.0155654070097074
1407,"HRIC distance to personal baseline",60,"Day 1-60",-0.41088600811344
1408,"HRIC alpha diversity",30,"Day 1-30",0.0310532784354426
1408,"HRIC distance to personal baseline",30,"Day 1-30",-0.475003603477899
1408,"HRIC alpha diversity",60,"Day 1-60",0.0222723672491885
1408,"HRIC distance to personal baseline",60,"Day 1-60",-0.316911789736866
1409,"HRIC alpha diversity",30,"Day 1-30",0.0160606550753528
1409,"HRIC distance to personal baseline",30,"Day 1-30",-0.438834718194395
1409,"HRIC alpha diversity",60,"Day 1-60",0.0146559093812466
1409,"HRIC distance to personal baseline",60,"Day 1-60",-0.338842518701525
1410,"HRIC alpha diversity",30,"Day 1-30",0.0183580931039579
1410,"HRIC distance to personal baseline",30,"Day 1-30",-0.308390067963025
1410,"HRIC alpha diversity",60,"Day 1-60",0.00546040010758575
1410,"HRIC distance to personal baseline",60,"Day 1-60",-0.236621415993303
1411,"HRIC alpha diversity",30,"Day 1-30",0.0254573796786444
1411,"HRIC distance to personal baseline",30,"Day 1-30",-0.458987900481356
1411,"HRIC alpha diversity",60,"Day 1-60",0.0153630946577227
1411,"HRIC distance to personal baseline",60,"Day 1-60",-0.343440062825026
1412,"HRIC alpha diversity",30,"Day 1-30",0.0106243043524293
1412,"HRIC distance to personal baseline",30,"Day 1-30",-0.329842533938655
1412,"HRIC alpha diversity",60,"Day 1-60",0.00184063660308392
1412,"HRIC distance to personal baseline",60,"Day 1-60",-0.262544616508249
1413,"HRIC alpha diversity",30,"Day 1-30",0.020091718018217
1413,"HRIC distance to personal baseline",30,"Day 1-30",-0.40410809275197
1413,"HRIC alpha diversity",60,"Day 1-60",0.0237946634869931
1413,"HRIC distance to personal baseline",60,"Day 1-60",-0.370011310714983
1414,"HRIC alpha diversity",30,"Day 1-30",0.0231948958319456
1414,"HRIC distance to personal baseline",30,"Day 1-30",-0.440513372585947
1414,"HRIC alpha diversity",60,"Day 1-60",0.0230979997235159
1414,"HRIC distance to personal baseline",60,"Day 1-60",-0.40028828179788
1415,"HRIC alpha diversity",30,"Day 1-30",0.0160028654200242
1415,"HRIC distance to personal baseline",30,"Day 1-30",-0.532958928659786
1415,"HRIC alpha diversity",60,"Day 1-60",0.0161448825945449
1415,"HRIC distance to personal baseline",60,"Day 1-60",-0.536398232202862
1416,"HRIC alpha diversity",30,"Day 1-30",0.0236188939694643
1416,"HRIC distance to personal baseline",30,"Day 1-30",-0.473418244094715
1416,"HRIC alpha diversity",60,"Day 1-60",0.0128522144144378
1416,"HRIC distance to personal baseline",60,"Day 1-60",-0.319850193185732
1417,"HRIC alpha diversity",30,"Day 1-30",0.00939487776882491
1417,"HRIC distance to personal baseline",30,"Day 1-30",-0.352826604939221
1417,"HRIC alpha diversity",60,"Day 1-60",0.0132278438224713
1417,"HRIC distance to personal baseline",60,"Day 1-60",-0.336579646815964
1418,"HRIC alpha diversity",30,"Day 1-30",-0.00411760485803667
1418,"HRIC distance to personal baseline",30,"Day 1-30",-0.302248561117546
1418,"HRIC alpha diversity",60,"Day 1-60",-0.001112063209113
1418,"HRIC distance to personal baseline",60,"Day 1-60",-0.252234415966952
1419,"HRIC alpha diversity",30,"Day 1-30",0.0308437159443795
1419,"HRIC distance to personal baseline",30,"Day 1-30",-0.458104420376188
1419,"HRIC alpha diversity",60,"Day 1-60",0.0184410622824601
1419,"HRIC distance to personal baseline",60,"Day 1-60",-0.339722387925502
1420,"HRIC alpha diversity",30,"Day 1-30",0.00246432985566241
1420,"HRIC distance to personal baseline",30,"Day 1-30",-0.209365534937617
1420,"HRIC alpha diversity",60,"Day 1-60",0.00714554653725646
1420,"HRIC distance to personal baseline",60,"Day 1-60",-0.256195296053478
1421,"HRIC alpha diversity",30,"Day 1-30",0.0275269847865242
1421,"HRIC distance to personal baseline",30,"Day 1-30",-0.491290540525862
1421,"HRIC alpha diversity",60,"Day 1-60",0.0146714119355266
1421,"HRIC distance to personal baseline",60,"Day 1-60",-0.305934739263281
1422,"HRIC alpha diversity",30,"Day 1-30",0.0249155007953042
1422,"HRIC distance to personal baseline",30,"Day 1-30",-0.481803790161976
1422,"HRIC alpha diversity",60,"Day 1-60",0.0115064575683856
1422,"HRIC distance to personal baseline",60,"Day 1-60",-0.334805765622684
1423,"HRIC alpha diversity",30,"Day 1-30",0.0227548685543174
1423,"HRIC distance to personal baseline",30,"Day 1-30",-0.459550341264214
1423,"HRIC alpha diversity",60,"Day 1-60",0.0070912864721013
1423,"HRIC distance to personal baseline",60,"Day 1-60",-0.250107001316124
1424,"HRIC alpha diversity",30,"Day 1-30",0.00338920142577814
1424,"HRIC distance to personal baseline",30,"Day 1-30",-0.281955057468663
1424,"HRIC alpha diversity",60,"Day 1-60",0.001775187297733
1424,"HRIC distance to personal baseline",60,"Day 1-60",-0.202281919427557
1425,"HRIC alpha diversity",30,"Day 1-30",0.032535117435788
1425,"HRIC distance to personal baseline",30,"Day 1-30",-0.508344904762183
1425,"HRIC alpha diversity",60,"Day 1-60",0.0311427460492763
1425,"HRIC distance to personal baseline",60,"Day 1-60",-0.408255943385308
1426,"HRIC alpha diversity",30,"Day 1-30",0.0225235646083269
1426,"HRIC distance to personal baseline",30,"Day 1-30",-0.584387075972267
1426,"HRIC alpha diversity",60,"Day 1-60",0.00685296113666035
1426,"HRIC distance to personal baseline",60,"Day 1-60",-0.374077225844004
1427,"HRIC alpha diversity",30,"Day 1-30",0.0360079515029447
1427,"HRIC distance to personal baseline",30,"Day 1-30",-0.56627274781185
1427,"HRIC alpha diversity",60,"Day 1-60",0.0415191753001406
1427,"HRIC distance to personal baseline",60,"Day 1-60",-0.603510642397692
1428,"HRIC alpha diversity",30,"Day 1-30",0.0240151299310532
1428,"HRIC distance to personal baseline",30,"Day 1-30",-0.469076416858766
1428,"HRIC alpha diversity",60,"Day 1-60",0.0169589285962248
1428,"HRIC distance to personal baseline",60,"Day 1-60",-0.387253485120452
1429,"HRIC alpha diversity",30,"Day 1-30",0.021826771931097
1429,"HRIC distance to personal baseline",30,"Day 1-30",-0.424859463147975
1429,"HRIC alpha diversity",60,"Day 1-60",0.00951584593407704
1429,"HRIC distance to personal baseline",60,"Day 1-60",-0.324042066387314
1430,"HRIC alpha diversity",30,"Day 1-30",0.0328371736312413
1430,"HRIC distance to personal baseline",30,"Day 1-30",-0.361324526366611
1430,"HRIC alpha diversity",60,"Day 1-60",0.0316644219140534
1430,"HRIC distance to personal baseline",60,"Day 1-60",-0.40509351424793
1431,"HRIC alpha diversity",30,"Day 1-30",0.0118720153742891
1431,"HRIC distance to personal baseline",30,"Day 1-30",-0.434823765805005
1431,"HRIC alpha diversity",60,"Day 1-60",0.00481523699253608
1431,"HRIC distance to personal baseline",60,"Day 1-60",-0.353621500297113
1432,"HRIC alpha diversity",30,"Day 1-30",0.0247029742615983
1432,"HRIC distance to personal baseline",30,"Day 1-30",-0.478058271681828
1432,"HRIC alpha diversity",60,"Day 1-60",0.0218638560124447
1432,"HRIC distance to personal baseline",60,"Day 1-60",-0.4537321721134
1433,"HRIC alpha diversity",30,"Day 1-30",0.0200386150728069
1433,"HRIC distance to personal baseline",30,"Day 1-30",-0.636781548106146
1433,"HRIC alpha diversity",60,"Day 1-60",0.0104974362081491
1433,"HRIC distance to personal baseline",60,"Day 1-60",-0.507057073127
1434,"HRIC alpha diversity",30,"Day 1-30",0.00679516247237464
1434,"HRIC distance to personal baseline",30,"Day 1-30",-0.142458503011052
1434,"HRIC alpha diversity",60,"Day 1-60",0.000185368354288705
1434,"HRIC distance to personal baseline",60,"Day 1-60",-0.113839924222857
1435,"HRIC alpha diversity",30,"Day 1-30",0.0217246562918613
1435,"HRIC distance to personal baseline",30,"Day 1-30",-0.393990940237008
1435,"HRIC alpha diversity",60,"Day 1-60",0.0123855894210042
1435,"HRIC distance to personal baseline",60,"Day 1-60",-0.270427639216529
1436,"HRIC alpha diversity",30,"Day 1-30",0.00589452006325675
1436,"HRIC distance to personal baseline",30,"Day 1-30",-0.34708735557619
1436,"HRIC alpha diversity",60,"Day 1-60",-0.00665756666318348
1436,"HRIC distance to personal baseline",60,"Day 1-60",-0.180535903030848
1437,"HRIC alpha diversity",30,"Day 1-30",0.0297864424999712
1437,"HRIC distance to personal baseline",30,"Day 1-30",-0.536186710773251
1437,"HRIC alpha diversity",60,"Day 1-60",0.0158487647161745
1437,"HRIC distance to personal baseline",60,"Day 1-60",-0.403556734707473
1438,"HRIC alpha diversity",30,"Day 1-30",0.0171693151549285
1438,"HRIC distance to personal baseline",30,"Day 1-30",-0.541933449336362
1438,"HRIC alpha diversity",60,"Day 1-60",0.0188525733634839
1438,"HRIC distance to personal baseline",60,"Day 1-60",-0.555242700674474
1439,"HRIC alpha diversity",30,"Day 1-30",0.0123266312268292
1439,"HRIC distance to personal baseline",30,"Day 1-30",-0.378339736878607
1439,"HRIC alpha diversity",60,"Day 1-60",-0.000934437986113295
1439,"HRIC distance to personal baseline",60,"Day 1-60",-0.250542674370234
1440,"HRIC alpha diversity",30,"Day 1-30",0.0214106876596175
1440,"HRIC distance to personal baseline",30,"Day 1-30",-0.419631058334277
1440,"HRIC alpha diversity",60,"Day 1-60",0.0062594904057415
1440,"HRIC distance to personal baseline",60,"Day 1-60",-0.300005290622909
1441,"HRIC alpha diversity",30,"Day 1-30",0.0307075302681041
1441,"HRIC distance to personal baseline",30,"Day 1-30",-0.543986328258257
1441,"HRIC alpha diversity",60,"Day 1-60",0.0171287358121873
1441,"HRIC distance to personal baseline",60,"Day 1-60",-0.373114650611952
1442,"HRIC alpha diversity",30,"Day 1-30",0.00983078101782703
1442,"HRIC distance to personal baseline",30,"Day 1-30",-0.365249283477436
1442,"HRIC alpha diversity",60,"Day 1-60",0.00994862379098957
1442,"HRIC distance to personal baseline",60,"Day 1-60",-0.387810023915443
1443,"HRIC alpha diversity",30,"Day 1-30",0.0173771681670277
1443,"HRIC distance to personal baseline",30,"Day 1-30",-0.355455531951069
1443,"HRIC alpha diversity",60,"Day 1-60",0.00822818112559664
1443,"HRIC distance to personal baseline",60,"Day 1-60",-0.305799567051504
1444,"HRIC alpha diversity",30,"Day 1-30",0.0227354730236128
1444,"HRIC distance to personal baseline",30,"Day 1-30",-0.561834196084293
1444,"HRIC alpha diversity",60,"Day 1-60",0.0119782180836337
1444,"HRIC distance to personal baseline",60,"Day 1-60",-0.42190543049217
1445,"HRIC alpha diversity",30,"Day 1-30",0.0190562115732521
1445,"HRIC distance to personal baseline",30,"Day 1-30",-0.35856350308746
1445,"HRIC alpha diversity",60,"Day 1-60",0.0149459090994015
1445,"HRIC distance to personal baseline",60,"Day 1-60",-0.292361463679078
1446,"HRIC alpha diversity",30,"Day 1-30",0.0347498156240568
1446,"HRIC distance to personal baseline",30,"Day 1-30",-0.480867692083124
1446,"HRIC alpha diversity",60,"Day 1-60",0.030850588870764
1446,"HRIC distance to personal baseline",60,"Day 1-60",-0.48881231840834
1447,"HRIC alpha diversity",30,"Day 1-30",0.0280273051816572
1447,"HRIC distance to personal baseline",30,"Day 1-30",-0.536691224879584
1447,"HRIC alpha diversity",60,"Day 1-60",0.0249487703409077
1447,"HRIC distance to personal baseline",60,"Day 1-60",-0.449831132228818
1448,"HRIC alpha diversity",30,"Day 1-30",0.0300535099799988
1448,"HRIC distance to personal baseline",30,"Day 1-30",-0.597321247098984
1448,"HRIC alpha diversity",60,"Day 1-60",0.00488777286767258
1448,"HRIC distance to personal baseline",60,"Day 1-60",-0.353096219176297
1449,"HRIC alpha diversity",30,"Day 1-30",0.0300615353917335
1449,"HRIC distance to personal baseline",30,"Day 1-30",-0.527174566012498
1449,"HRIC alpha diversity",60,"Day 1-60",0.0152997017143562
1449,"HRIC distance to personal baseline",60,"Day 1-60",-0.40596312356702
1450,"HRIC alpha diversity",30,"Day 1-30",0.0103397103263478
1450,"HRIC distance to personal baseline",30,"Day 1-30",-0.286179413706315
1450,"HRIC alpha diversity",60,"Day 1-60",0.00427202787386412
1450,"HRIC distance to personal baseline",60,"Day 1-60",-0.249812752780344
1451,"HRIC alpha diversity",30,"Day 1-30",0.0181264883084266
1451,"HRIC distance to personal baseline",30,"Day 1-30",-0.491175913440708
1451,"HRIC alpha diversity",60,"Day 1-60",0.00138176445035513
1451,"HRIC distance to personal baseline",60,"Day 1-60",-0.268310544185712
1452,"HRIC alpha diversity",30,"Day 1-30",0.0216607482471262
1452,"HRIC distance to personal baseline",30,"Day 1-30",-0.48026887510025
1452,"HRIC alpha diversity",60,"Day 1-60",0.0176245862120272
1452,"HRIC distance to personal baseline",60,"Day 1-60",-0.43586219430739
1453,"HRIC alpha diversity",30,"Day 1-30",0.0185672075667742
1453,"HRIC distance to personal baseline",30,"Day 1-30",-0.377202699242049
1453,"HRIC alpha diversity",60,"Day 1-60",0.0137594350984618
1453,"HRIC distance to personal baseline",60,"Day 1-60",-0.309467958632792
1454,"HRIC alpha diversity",30,"Day 1-30",0.0106432218130061
1454,"HRIC distance to personal baseline",30,"Day 1-30",-0.372792406907712
1454,"HRIC alpha diversity",60,"Day 1-60",0.00579293566636245
1454,"HRIC distance to personal baseline",60,"Day 1-60",-0.241345216283141
1455,"HRIC alpha diversity",30,"Day 1-30",0.0136293302276096
1455,"HRIC distance to personal baseline",30,"Day 1-30",-0.514938329871693
1455,"HRIC alpha diversity",60,"Day 1-60",0.00317960007113312
1455,"HRIC distance to personal baseline",60,"Day 1-60",-0.33580328818831
1456,"HRIC alpha diversity",30,"Day 1-30",0.03061027118883
1456,"HRIC distance to personal baseline",30,"Day 1-30",-0.434260255505781
1456,"HRIC alpha diversity",60,"Day 1-60",0.019649612530406
1456,"HRIC distance to personal baseline",60,"Day 1-60",-0.292842714145974
1457,"HRIC alpha diversity",30,"Day 1-30",-0.0041706353157765
1457,"HRIC distance to personal baseline",30,"Day 1-30",-0.182010101109313
1457,"HRIC alpha diversity",60,"Day 1-60",-0.00363830705222652
1457,"HRIC distance to personal baseline",60,"Day 1-60",-0.208917183155076
1458,"HRIC alpha diversity",30,"Day 1-30",0.0108254941917247
1458,"HRIC distance to personal baseline",30,"Day 1-30",-0.492176644712733
1458,"HRIC alpha diversity",60,"Day 1-60",0.0043700622973205
1458,"HRIC distance to personal baseline",60,"Day 1-60",-0.342816447227337
1459,"HRIC alpha diversity",30,"Day 1-30",0.0228113240709819
1459,"HRIC distance to personal baseline",30,"Day 1-30",-0.431393268663873
1459,"HRIC alpha diversity",60,"Day 1-60",0.0129221298200936
1459,"HRIC distance to personal baseline",60,"Day 1-60",-0.358307138131539
1460,"HRIC alpha diversity",30,"Day 1-30",0.0141894245854508
1460,"HRIC distance to personal baseline",30,"Day 1-30",-0.280228304393381
1460,"HRIC alpha diversity",60,"Day 1-60",0.0138895397810753
1460,"HRIC distance to personal baseline",60,"Day 1-60",-0.258286430783992
1461,"HRIC alpha diversity",30,"Day 1-30",0.0236910739963564
1461,"HRIC distance to personal baseline",30,"Day 1-30",-0.417024468446735
1461,"HRIC alpha diversity",60,"Day 1-60",0.0228585860639022
1461,"HRIC distance to personal baseline",60,"Day 1-60",-0.36019137424047
1462,"HRIC alpha diversity",30,"Day 1-30",0.0360619914599582
1462,"HRIC distance to personal baseline",30,"Day 1-30",-0.539971919363878
1462,"HRIC alpha diversity",60,"Day 1-60",0.0207709267649659
1462,"HRIC distance to personal baseline",60,"Day 1-60",-0.346465805998115
1463,"HRIC alpha diversity",30,"Day 1-30",-0.00173312687086616
1463,"HRIC distance to personal baseline",30,"Day 1-30",-0.294647592452824
1463,"HRIC alpha diversity",60,"Day 1-60",0.00237260561181871
1463,"HRIC distance to personal baseline",60,"Day 1-60",-0.305657632885196
1464,"HRIC alpha diversity",30,"Day 1-30",0.0165192368648498
1464,"HRIC distance to personal baseline",30,"Day 1-30",-0.405722973018048
1464,"HRIC alpha diversity",60,"Day 1-60",0.00306548601091303
1464,"HRIC distance to personal baseline",60,"Day 1-60",-0.251631235083766
1465,"HRIC alpha diversity",30,"Day 1-30",0.03294507221153
1465,"HRIC distance to personal baseline",30,"Day 1-30",-0.583822256354233
1465,"HRIC alpha diversity",60,"Day 1-60",0.0250034266209645
1465,"HRIC distance to personal baseline",60,"Day 1-60",-0.466302081638491
1466,"HRIC alpha diversity",30,"Day 1-30",0.0342996487199201
1466,"HRIC distance to personal baseline",30,"Day 1-30",-0.416424962709807
1466,"HRIC alpha diversity",60,"Day 1-60",0.0159533849012482
1466,"HRIC distance to personal baseline",60,"Day 1-60",-0.27488104369077
1467,"HRIC alpha diversity",30,"Day 1-30",0.021830155927678
1467,"HRIC distance to personal baseline",30,"Day 1-30",-0.481409282439837
1467,"HRIC alpha diversity",60,"Day 1-60",0.0111591906597754
1467,"HRIC distance to personal baseline",60,"Day 1-60",-0.309197618196339
1468,"HRIC alpha diversity",30,"Day 1-30",0.0143461858485766
1468,"HRIC distance to personal baseline",30,"Day 1-30",-0.472856587175153
1468,"HRIC alpha diversity",60,"Day 1-60",-0.00309620441250475
1468,"HRIC distance to personal baseline",60,"Day 1-60",-0.239026283260089
1469,"HRIC alpha diversity",30,"Day 1-30",0.019269930044494
1469,"HRIC distance to personal baseline",30,"Day 1-30",-0.466523100399526
1469,"HRIC alpha diversity",60,"Day 1-60",0.0146261546468326
1469,"HRIC distance to personal baseline",60,"Day 1-60",-0.395079129208331
1470,"HRIC alpha diversity",30,"Day 1-30",0.0238950239319456
1470,"HRIC distance to personal baseline",30,"Day 1-30",-0.464777419178008
1470,"HRIC alpha diversity",60,"Day 1-60",0.0205638740099058
1470,"HRIC distance to personal baseline",60,"Day 1-60",-0.35194682106766
1471,"HRIC alpha diversity",30,"Day 1-30",0.0237121476353949
1471,"HRIC distance to personal baseline",30,"Day 1-30",-0.481839243653115
1471,"HRIC alpha diversity",60,"Day 1-60",0.00574709822283608
1471,"HRIC distance to personal baseline",60,"Day 1-60",-0.296405279323778
1472,"HRIC alpha diversity",30,"Day 1-30",0.00516903220647716
1472,"HRIC distance to personal baseline",30,"Day 1-30",-0.380452487717935
1472,"HRIC alpha diversity",60,"Day 1-60",0.000621226863953147
1472,"HRIC distance to personal baseline",60,"Day 1-60",-0.262102257721643
1473,"HRIC alpha diversity",30,"Day 1-30",0.0239402714031426
1473,"HRIC distance to personal baseline",30,"Day 1-30",-0.491793687364218
1473,"HRIC alpha diversity",60,"Day 1-60",0.021110651915291
1473,"HRIC distance to personal baseline",60,"Day 1-60",-0.436960989670358
1474,"HRIC alpha diversity",30,"Day 1-30",0.0231128909003425
1474,"HRIC distance to personal baseline",30,"Day 1-30",-0.408804002731354
1474,"HRIC alpha diversity",60,"Day 1-60",0.0210808166192188
1474,"HRIC distance to personal baseline",60,"Day 1-60",-0.341912853073098
1475,"HRIC alpha diversity",30,"Day 1-30",0.0261179635299553
1475,"HRIC distance to personal baseline",30,"Day 1-30",-0.496168666537288
1475,"HRIC alpha diversity",60,"Day 1-60",0.0113899550268468
1475,"HRIC distance to personal baseline",60,"Day 1-60",-0.329721639349988
1476,"HRIC alpha diversity",30,"Day 1-30",0.0162558121512498
1476,"HRIC distance to personal baseline",30,"Day 1-30",-0.497055515871588
1476,"HRIC alpha diversity",60,"Day 1-60",0.00779065798963629
1476,"HRIC distance to personal baseline",60,"Day 1-60",-0.38128759360558
1477,"HRIC alpha diversity",30,"Day 1-30",0.0157300595039118
1477,"HRIC distance to personal baseline",30,"Day 1-30",-0.433877378934806
1477,"HRIC alpha diversity",60,"Day 1-60",0.015387246415196
1477,"HRIC distance to personal baseline",60,"Day 1-60",-0.517148820637051
1478,"HRIC alpha diversity",30,"Day 1-30",0.0350721075272853
1478,"HRIC distance to personal baseline",30,"Day 1-30",-0.586740440528853
1478,"HRIC alpha diversity",60,"Day 1-60",0.0163151922833595
1478,"HRIC distance to personal baseline",60,"Day 1-60",-0.362931853459971
1479,"HRIC alpha diversity",30,"Day 1-30",0.0346856025426607
1479,"HRIC distance to personal baseline",30,"Day 1-30",-0.557917155856853
1479,"HRIC alpha diversity",60,"Day 1-60",0.0172468630051061
1479,"HRIC distance to personal baseline",60,"Day 1-60",-0.358653137333579
1480,"HRIC alpha diversity",30,"Day 1-30",0.0110713841722265
1480,"HRIC distance to personal baseline",30,"Day 1-30",-0.551815166384643
1480,"HRIC alpha diversity",60,"Day 1-60",0.00723322430406216
1480,"HRIC distance to personal baseline",60,"Day 1-60",-0.474164428079883
1481,"HRIC alpha diversity",30,"Day 1-30",0.024479441917903
1481,"HRIC distance to personal baseline",30,"Day 1-30",-0.459517182834905
1481,"HRIC alpha diversity",60,"Day 1-60",0.0185635223340246
1481,"HRIC distance to personal baseline",60,"Day 1-60",-0.389946908336351
1482,"HRIC alpha diversity",30,"Day 1-30",0.0281268154552114
1482,"HRIC distance to personal baseline",30,"Day 1-30",-0.475229331143737
1482,"HRIC alpha diversity",60,"Day 1-60",0.0260814224057671
1482,"HRIC distance to personal baseline",60,"Day 1-60",-0.479229105397768
1483,"HRIC alpha diversity",30,"Day 1-30",0.0242820390630331
1483,"HRIC distance to personal baseline",30,"Day 1-30",-0.463179826783395
1483,"HRIC alpha diversity",60,"Day 1-60",0.0224953740342378
1483,"HRIC distance to personal baseline",60,"Day 1-60",-0.373454634604191
1484,"HRIC alpha diversity",30,"Day 1-30",0.0355009552684063
1484,"HRIC distance to personal baseline",30,"Day 1-30",-0.480599411054035
1484,"HRIC alpha diversity",60,"Day 1-60",0.0266843825977733
1484,"HRIC distance to personal baseline",60,"Day 1-60",-0.329772755365894
1485,"HRIC alpha diversity",30,"Day 1-30",0.0158494320968515
1485,"HRIC distance to personal baseline",30,"Day 1-30",-0.456730661971175
1485,"HRIC alpha diversity",60,"Day 1-60",0.000554220884123147
1485,"HRIC distance to personal baseline",60,"Day 1-60",-0.292826347392711
1486,"HRIC alpha diversity",30,"Day 1-30",0.0234695460227789
1486,"HRIC distance to personal baseline",30,"Day 1-30",-0.529136926233981
1486,"HRIC alpha diversity",60,"Day 1-60",0.018414895042045
1486,"HRIC distance to personal baseline",60,"Day 1-60",-0.415838591076763
1487,"HRIC alpha diversity",30,"Day 1-30",0.0248546991064682
1487,"HRIC distance to personal baseline",30,"Day 1-30",-0.355697682661838
1487,"HRIC alpha diversity",60,"Day 1-60",0.0169837647302471
1487,"HRIC distance to personal baseline",60,"Day 1-60",-0.28035795317728
1488,"HRIC alpha diversity",30,"Day 1-30",0.0150608076573589
1488,"HRIC distance to personal baseline",30,"Day 1-30",-0.393841216954009
1488,"HRIC alpha diversity",60,"Day 1-60",0.00331643493743895
1488,"HRIC distance to personal baseline",60,"Day 1-60",-0.267983851722482
1489,"HRIC alpha diversity",30,"Day 1-30",0.0231110693378837
1489,"HRIC distance to personal baseline",30,"Day 1-30",-0.497858303405642
1489,"HRIC alpha diversity",60,"Day 1-60",0.00771900662145688
1489,"HRIC distance to personal baseline",60,"Day 1-60",-0.314351878804648
1490,"HRIC alpha diversity",30,"Day 1-30",0.0313858088583695
1490,"HRIC distance to personal baseline",30,"Day 1-30",-0.434999070096504
1490,"HRIC alpha diversity",60,"Day 1-60",0.0224816971799367
1490,"HRIC distance to personal baseline",60,"Day 1-60",-0.349181244403373
1491,"HRIC alpha diversity",30,"Day 1-30",0.0150020452223586
1491,"HRIC distance to personal baseline",30,"Day 1-30",-0.411320126711239
1491,"HRIC alpha diversity",60,"Day 1-60",0.00233397920337533
1491,"HRIC distance to personal baseline",60,"Day 1-60",-0.327852135821238
1492,"HRIC alpha diversity",30,"Day 1-30",0.0218643976496298
1492,"HRIC distance to personal baseline",30,"Day 1-30",-0.48372931455599
1492,"HRIC alpha diversity",60,"Day 1-60",0.00838711861293086
1492,"HRIC distance to personal baseline",60,"Day 1-60",-0.310972777811746
1493,"HRIC alpha diversity",30,"Day 1-30",0.0165748497538725
1493,"HRIC distance to personal baseline",30,"Day 1-30",-0.389004174322548
1493,"HRIC alpha diversity",60,"Day 1-60",0.00833815795939134
1493,"HRIC distance to personal baseline",60,"Day 1-60",-0.297362788246361
1494,"HRIC alpha diversity",30,"Day 1-30",0.024551531215494
1494,"HRIC distance to personal baseline",30,"Day 1-30",-0.38490722032321
1494,"HRIC alpha diversity",60,"Day 1-60",0.0131086616949727
1494,"HRIC distance to personal baseline",60,"Day 1-60",-0.253438587244701
1495,"HRIC alpha diversity",30,"Day 1-30",0.0180980542299437
1495,"HRIC distance to personal baseline",30,"Day 1-30",-0.393915964042437
1495,"HRIC alpha diversity",60,"Day 1-60",0.0147810637133267
1495,"HRIC distance to personal baseline",60,"Day 1-60",-0.339874282057967
1496,"HRIC alpha diversity",30,"Day 1-30",0.00183968170412534
1496,"HRIC distance to personal baseline",30,"Day 1-30",-0.132403400772291
1496,"HRIC alpha diversity",60,"Day 1-60",0.00520590376937277
1496,"HRIC distance to personal baseline",60,"Day 1-60",-0.198245445413158
1497,"HRIC alpha diversity",30,"Day 1-30",0.0221868755235039
1497,"HRIC distance to personal baseline",30,"Day 1-30",-0.558442479665407
1497,"HRIC alpha diversity",60,"Day 1-60",0.0186123147216274
1497,"HRIC distance to personal baseline",60,"Day 1-60",-0.418137621299161
1498,"HRIC alpha diversity",30,"Day 1-30",0.0238743784469901
1498,"HRIC distance to personal baseline",30,"Day 1-30",-0.490519971406832
1498,"HRIC alpha diversity",60,"Day 1-60",0.0227878819335114
1498,"HRIC distance to personal baseline",60,"Day 1-60",-0.437445832447607
1499,"HRIC alpha diversity",30,"Day 1-30",0.0266690388906987
1499,"HRIC distance to personal baseline",30,"Day 1-30",-0.593218093878469
1499,"HRIC alpha diversity",60,"Day 1-60",0.0161083045908405
1499,"HRIC distance to personal baseline",60,"Day 1-60",-0.451059450349033
1500,"HRIC alpha diversity",30,"Day 1-30",0.0267491423062664
1500,"HRIC distance to personal baseline",30,"Day 1-30",-0.453831780003047
1500,"HRIC alpha diversity",60,"Day 1-60",0.00556670495463822
1500,"HRIC distance to personal baseline",60,"Day 1-60",-0.253491362169574
