"BootstrapIteration","Outcome","WindowEnd","Window","Estimate"
21,"HRIC distance to personal baseline",30,"Day 1-30",-0.453368678642625
21,"HRIC alpha diversity",60,"Day 1-60",0.0173411364332538
21,"HRIC distance to personal baseline",60,"Day 1-60",-0.419854461869948
22,"HRIC alpha diversity",30,"Day 1-30",0.00817025616579913
22,"HRIC distance to personal baseline",30,"Day 1-30",-0.240736522815475
22,"HRIC alpha diversity",60,"Day 1-60",-0.00445173288892512
22,"HRIC distance to personal baseline",60,"Day 1-60",-0.145799290217122
23,"HRIC alpha diversity",30,"Day 1-30",0.0234797630761754
23,"HRIC distance to personal baseline",30,"Day 1-30",-0.35937118405762
23,"HRIC alpha diversity",60,"Day 1-60",0.00607260622640535
23,"HRIC distance to personal baseline",60,"Day 1-60",-0.289232933447715
24,"HRIC alpha diversity",30,"Day 1-30",0.00831168848843387
24,"HRIC distance to personal baseline",30,"Day 1-30",-0.36677502705182
24,"HRIC alpha diversity",60,"Day 1-60",0.00450123998470832
24,"HRIC distance to personal baseline",60,"Day 1-60",-0.399004086762075
25,"HRIC alpha diversity",30,"Day 1-30",0.022447077136574
25,"HRIC distance to personal baseline",30,"Day 1-30",-0.410278162780764
25,"HRIC alpha diversity",60,"Day 1-60",0.00555498893373288
25,"HRIC distance to personal baseline",60,"Day 1-60",-0.246418546094788
26,"HRIC alpha diversity",30,"Day 1-30",0.00573123909917853
26,"HRIC distance to personal baseline",30,"Day 1-30",-0.240808349706259
26,"HRIC alpha diversity",60,"Day 1-60",-0.00134572713551485
26,"HRIC distance to personal baseline",60,"Day 1-60",-0.207597034544209
27,"HRIC alpha diversity",30,"Day 1-30",0.0183977353227427
27,"HRIC distance to personal baseline",30,"Day 1-30",-0.341405890198865
27,"HRIC alpha diversity",60,"Day 1-60",0.0100138628312686
27,"HRIC distance to personal baseline",60,"Day 1-60",-0.199509473820997
28,"HRIC alpha diversity",30,"Day 1-30",0.00757811371046939
28,"HRIC distance to personal baseline",30,"Day 1-30",-0.377470208741703
28,"HRIC alpha diversity",60,"Day 1-60",-0.00111397228968615
28,"HRIC distance to personal baseline",60,"Day 1-60",-0.216275037003041
29,"HRIC alpha diversity",30,"Day 1-30",0.0185563241888351
29,"HRIC distance to personal baseline",30,"Day 1-30",-0.386733626512396
29,"HRIC alpha diversity",60,"Day 1-60",0.015650368711753
29,"HRIC distance to personal baseline",60,"Day 1-60",-0.413489742434073
30,"HRIC alpha diversity",30,"Day 1-30",0.0181329323188077
30,"HRIC distance to personal baseline",30,"Day 1-30",-0.392129355334202
30,"HRIC alpha diversity",60,"Day 1-60",0.0202272779450557
30,"HRIC distance to personal baseline",60,"Day 1-60",-0.365369883607014
31,"HRIC alpha diversity",30,"Day 1-30",0.0208150209629639
31,"HRIC distance to personal baseline",30,"Day 1-30",-0.423058948807264
31,"HRIC alpha diversity",60,"Day 1-60",0.0221870132257215
31,"HRIC distance to personal baseline",60,"Day 1-60",-0.417743707474187
32,"HRIC alpha diversity",30,"Day 1-30",0.0204231467869354
32,"HRIC distance to personal baseline",30,"Day 1-30",-0.479925622336579
32,"HRIC alpha diversity",60,"Day 1-60",0.0237221968361486
32,"HRIC distance to personal baseline",60,"Day 1-60",-0.386976775291404
33,"HRIC alpha diversity",30,"Day 1-30",0.0176792158012119
33,"HRIC distance to personal baseline",30,"Day 1-30",-0.41554321929667
33,"HRIC alpha diversity",60,"Day 1-60",0.0232026259711244
33,"HRIC distance to personal baseline",60,"Day 1-60",-0.441477087292633
34,"HRIC alpha diversity",30,"Day 1-30",0.00462400202713754
34,"HRIC distance to personal baseline",30,"Day 1-30",-0.338027466047812
34,"HRIC alpha diversity",60,"Day 1-60",0.0093865849410312
34,"HRIC distance to personal baseline",60,"Day 1-60",-0.323614582246873
35,"HRIC alpha diversity",30,"Day 1-30",0.020914529937554
35,"HRIC distance to personal baseline",30,"Day 1-30",-0.364696915326903
35,"HRIC alpha diversity",60,"Day 1-60",0.0246852655698836
35,"HRIC distance to personal baseline",60,"Day 1-60",-0.370192493643293
36,"HRIC alpha diversity",30,"Day 1-30",0.0139897264799668
36,"HRIC distance to personal baseline",30,"Day 1-30",-0.236093658871109
36,"HRIC alpha diversity",60,"Day 1-60",0.00113807038474035
36,"HRIC distance to personal baseline",60,"Day 1-60",-0.146996320141045
37,"HRIC alpha diversity",30,"Day 1-30",0.0249233562221154
37,"HRIC distance to personal baseline",30,"Day 1-30",-0.526450582070448
37,"HRIC alpha diversity",60,"Day 1-60",0.00558724453523768
37,"HRIC distance to personal baseline",60,"Day 1-60",-0.346993103274209
38,"HRIC alpha diversity",30,"Day 1-30",0.00709636450475208
38,"HRIC distance to personal baseline",30,"Day 1-30",-0.51745687745442
38,"HRIC alpha diversity",60,"Day 1-60",0.0102121085043423
38,"HRIC distance to personal baseline",60,"Day 1-60",-0.551549069062626
39,"HRIC alpha diversity",30,"Day 1-30",0.0194048728644779
39,"HRIC distance to personal baseline",30,"Day 1-30",-0.368059927967454
39,"HRIC alpha diversity",60,"Day 1-60",0.0187441197784267
39,"HRIC distance to personal baseline",60,"Day 1-60",-0.308267119050199
40,"HRIC alpha diversity",30,"Day 1-30",0.0177373446946892
40,"HRIC distance to personal baseline",30,"Day 1-30",-0.39630303493281
40,"HRIC alpha diversity",60,"Day 1-60",0.00219048275940103
40,"HRIC distance to personal baseline",60,"Day 1-60",-0.256954259230622
41,"HRIC alpha diversity",30,"Day 1-30",0.0191262184734114
41,"HRIC distance to personal baseline",30,"Day 1-30",-0.466713064083147
41,"HRIC alpha diversity",60,"Day 1-60",0.00562306597200079
41,"HRIC distance to personal baseline",60,"Day 1-60",-0.33457096461858
42,"HRIC alpha diversity",30,"Day 1-30",0.0214050662933852
