"Outcome","Period","EstimatePerDay","SE","Lower","Upper","P"
"HRIC alpha diversity","Day 1-14",-0.00134017337867739,0.00106337826808311,-0.00342439478412028,0.000744048026765509,0.207561923881842
"HRIC alpha diversity","Day 15-60",-0.000515182789310366,0.000355257589560374,-0.0012114876648487,0.000181122086227967,0.147011989240217
"HRIC distance to baseline","Day 1-14",0.0202261515360816,0.0183123066738524,-0.0156659695446692,0.0561182726168324,0.269371359839367
"HRIC distance to baseline","Day 15-60",0.00764870888405456,0.00727154695159348,-0.00660352314106867,0.0219009409091778,0.292860031031885
"HRIC alpha diversity (mean-baseline sensitivity)","Day 1-14",-0.00130294191468927,0.00106283763824152,-0.00338610368564265,0.000780219856264119,0.22023303191342
"HRIC alpha diversity (mean-baseline sensitivity)","Day 15-60",-0.000551152424363173,0.00035417360741498,-0.00124533269489653,0.000143027846170188,0.119668960692447
