"Outcome","WindowEnd","Window","Estimand","Estimate","SE","Lower","Upper","P","BootstrapIterations","BootstrapSE","BootstrapLower","BootstrapUpper","BootstrapP"
"HRIC alpha diversity",30,"Day 1-30","Time-averaged adjusted Auto-FMT - control difference",0.0235107817488741,0.00693594625716934,0.00991632708482218,0.037105236412926,0.000699689751367197,4999,0.00991308038116454,-0.00153702460928293,0.0372558780272574,0.0668
"HRIC distance to personal baseline",30,"Day 1-30","Time-averaged adjusted Auto-FMT - control difference",-0.496213997763476,0.09479500360019,-0.682012204819849,-0.310415790707104,1.6534185735133e-07,4999,0.102442512469235,-0.617459475312165,-0.229502588369854,4e-04
"HRIC alpha diversity",60,"Day 1-60","Time-averaged adjusted Auto-FMT - control difference",0.0145607423381809,0.00600680098949485,0.00278741239877103,0.0263340722775908,0.015348798900277,4999,0.00857237741296483,-0.00365748838124643,0.0290439105559308,0.1436
"HRIC distance to personal baseline",60,"Day 1-60","Time-averaged adjusted Auto-FMT - control difference",-0.362848754845797,0.0785661596153439,-0.51683842769187,-0.208859081999723,3.86738644848664e-06,4999,0.0892472271567147,-0.534345599703842,-0.175660991897024,4e-04
