"SampleID","ParticipantID","day","EventTime","Alpha","LogInverseSimpsonCalculated","PielouEvenness","PreviousSampleID","PreviousDay","DeltaHRIC","DeltaLogInverseSimpson","DeltaPielou","Transition","TransitionOrder"
"12277.FMT.0020B","0020",-2,-39,0.0712361791945639,2.61717966382689,0.650872676617032,"12277.FMT.0020A",-6,-0.0080495917704722,0.6417434745262,0.027702839580974,"0020: day -6 to -2",1
"12277.FMT.0020D","0020",12,-25,0.0197171968438891,1.08419266861001,0.474918889354657,"12277.FMT.0020C",5,-0.0019452382804324,0.593420235696273,0.222350903732667,"0020: day 5 to 12",2
"12277.FMT.0020E","0020",19,-18,0.0259815212426739,1.14209362140426,0.383453500365652,"12277.FMT.0020D",12,0.0062643243987848,0.05790095279425,-0.091465388989005,"0020: day 12 to 19",3
"12277.FMT.0020H","0020",61,24,0.0748371538888967,1.4767306786681,0.501153252797516,"12277.FMT.0020G",40,0.00512977117133689,-0.22650860859735,-0.036055335945425,"0020: day 40 to 61",4
"12277.FMT.0020I","0020",90,53,0.0731954244697238,2.20476937429264,0.593238707133124,"12277.FMT.0020H",61,-0.0016417294191729,0.72803869562454,0.092085454335608,"0020: day 61 to 90",5
"12277.FMT.0061F","0061",-4,-37,0.0446326061275195,1.44384280340802,0.463752515163013,"12277.FMT.0061E",-5,-0.0071238349256343,0.00580893638968005,0.021040585142694,"0061: day -5 to -4",6
"12277.FMT.0061G","0061",-3,-36,0.0406865378702357,1.48127061627235,0.472578013276189,"12277.FMT.0061F",-4,-0.0039460682572838,0.0374278128643299,0.00882549811317596,"0061: day -4 to -3",7
"12277.FMT.0061H","0061",-2,-35,0.0540494422109055,1.68632522556569,0.463608272601425,"12277.FMT.0061G",-3,0.0133629043406698,0.20505460929334,-0.00896974067476397,"0061: day -3 to -2",8
