"Outcome","EventTime","Estimate","SE","Lower","Upper","P"
"HRIC alpha diversity",14,0.0218797040431323,0.00994705564741027,0.00238347497420818,0.0413759331120564,0.0278341418288733
"HRIC distance to baseline",14,-0.471038995431066,0.160534716126569,-0.785687039039141,-0.15639095182299,0.00334421864689993
"HRIC alpha diversity",30,0.0136367794141664,0.00671191209110032,0.000481431715609824,0.0267921271127231,0.0421812044322212
"HRIC distance to baseline",30,-0.348659653286193,0.0925483576061369,-0.530054434194221,-0.167264872378165,0.000165006759518513
"HRIC alpha diversity",60,-0.00181870426514453,0.0108703820763079,-0.023124653134708,0.019487244604419,0.867127537457532
"HRIC distance to baseline",60,-0.119198386764556,0.2219721268356,-0.554263755362333,0.315866981833221,0.591269622296204
