"Landmark","Arm","n","MeanAlpha","Gamma","Beta","Delta"
"Pre-index","Control",11,0.0554009926572944,0.102938208410142,0.0475372157528475,0.07154243543588
"Pre-index","Auto-FMT",14,0.0360226367319019,0.0741467299648741,0.0381240932329722,0.07154243543588
"Early post-index","Control",11,0.0526974570649263,0.114319708631112,0.0616222515661861,0.0933904256522972
"Early post-index","Auto-FMT",13,0.084521542891548,0.157099479826933,0.0725779369353845,0.0933904256522972
"Later post-index","Control",10,0.0509982809095024,0.108492490126843,0.057494209217341,0.0975762283792111
"Later post-index","Auto-FMT",13,0.0761332430211731,0.148995593773446,0.0728623507522728,0.0975762283792111
