"Taxon","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"ACJI01001305.31646.33372",420,47,0.271676300578035,0.000118207153022591,"Eukaryota","SAR","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales"
"ACNW01000116.2679.4120",117,21,0.121387283236994,2.2146892062525e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Citreicella"
"ADAC02000001.853899.855372",421,71,0.410404624277457,0.000113323033374572,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"ADAE01000015.413.1876",369,55,0.317919075144509,8.17019353712576e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter"
"ADIF01000149.392.1892",1550,64,0.369942196531792,0.000371279975944606,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncultured"
"ADIF01001074.28.1553",115,30,0.173410404624277,2.89985637223935e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Balneatrix"
"AEUE01000008.155488.156954",1868,103,0.595375722543353,0.00039446964744449,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter"
"AF001377.1.1408",79,23,0.132947976878613,2.10882489113531e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Octadecabacter"
"AF001653.1.1553",1383,130,0.751445086705202,0.000382990324537761,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"AF001659.1.1490",876,28,0.161849710982659,0.000238517284775475,"Bacteria","Cyanobacteria","Chloroplast","environmental",NA,NA
"AF063241.1.1778",82,26,0.15028901734104,1.56456111358556e-05,"Eukaryota","SAR","Rhizaria","Retaria","Acantharia","Chaunocanthida"
"AF069516.1.1826",113,49,0.283236994219653,2.66812728758496e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Amoebophrya"
"AF091146.1.1792",354,32,0.184971098265896,0.000123231462165898,"Eukaryota","SAR","Rhizaria","Retaria","Polycystinea","Collodaria"
"AF098371.1.1444",3193,76,0.439306358381503,0.000702348203581539,"Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus"
"AF100940.1.1796",65,18,0.104046242774566,1.25522071510616e-05,"Eukaryota","Opisthokonta","Holozoa","Choanoflagellida","Craspedida","Codonosigidae"
"AF107082.1.1793",105,49,0.283236994219653,2.64638152182692e-05,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","OLI16029","unidentified"
"AF107089.1.1797",89,46,0.265895953757225,2.17220606188178e-05,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","OLI51059","unidentified"
"AF109322.1.1762",156,22,0.127167630057803,3.19659100615806e-05,"Eukaryota","SAR","Stramenopiles","Ochrophyta","Chrysophyceae","Ochromonadales"
"AF114498.1.1489",1079,66,0.38150289017341,0.000274070094713985,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"AF114502.1.1530",91,29,0.167630057803468,1.8789696795078e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"AF114506.1.1503",83,24,0.138728323699422,2.34185396176759e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"AF114509.1.1614",75,30,0.173410404624277,1.869890491735e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"AF121095.1.906",2838,48,0.277456647398844,0.000596828400917795,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AF121096.1.905",524,30,0.173410404624277,0.000110061660187771,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AF121999.1.911",598,43,0.248554913294798,0.000112257575980348,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AF172714.1.1797",64,28,0.161849710982659,1.81239416343566e-05,"Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniphycidae"
"AF235121.1.1536",223,61,0.352601156069364,5.70726102888012e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Coxiella"
"AF239260.1.1699",201,79,0.456647398843931,5.00850496416245e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Amoebophrya"
"AF239705.1.1437",1034,87,0.502890173410405,0.000256639469586808,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"AF257277.1.1402",2293,136,0.786127167630058,0.000562584077884736,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"AF280849.1.1505",77,20,0.115606936416185,1.80208591383826e-05,"Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales","uncultured",NA
"AF288157.1.1529",1318,70,0.404624277456647,0.000339519521733365,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter"
"AF290067.1.1654",160,61,0.352601156069364,4.45540823500778e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Syndiniales"
"AF290075.1.1671",62,30,0.173410404624277,1.63329246266649e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Syndiniales"
"AF290077.1.1679",63,33,0.190751445086705,1.44433950762455e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Amoebophrya"
"AF293673.1.1803",247,46,0.265895953757225,6.20171472997841e-05,"Eukaryota","Opisthokonta","Holozoa","Metazoa",NA,NA
"AF293682.1.1809",465,63,0.364161849710983,0.0001183281117189,"Eukaryota","Opisthokonta","Holozoa","Metazoa",NA,NA
"AF293683.1.1809",63,22,0.127167630057803,1.51854567495322e-05,"Eukaryota","Opisthokonta","Holozoa","Metazoa",NA,NA
"AF315604.1.1807",3458,29,0.167630057803468,0.000679923674597435,"Eukaryota","SAR","Stramenopiles","Bicosoecida","Pseudobodo","Pseudobodo"
"AF353226.1.1439",666,51,0.294797687861272,0.000190277231230525,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"AF354596.1.1492",122,46,0.265895953757225,3.04336948948663e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"AF355050.1.1465",105,54,0.312138728323699,2.51579736190027e-05,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas"
"AF355054.1.1421",233,28,0.161849710982659,5.10020343259154e-05,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"AF358062.1.1824",279,48,0.277456647398844,6.70404193144254e-05,"Eukaryota","Opisthokonta","Holozoa","Metazoa",NA,NA
"AF358094.1.1823",97,36,0.208092485549133,2.03717645123377e-05,"Eukaryota","Opisthokonta","Holozoa","Metazoa",NA,NA
"AF382126.1.1514",128,29,0.167630057803468,2.48705475532392e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","uncultured"
"AF382142.1.1524",183,42,0.242774566473988,3.60716040375086e-05,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"AF382143.1.1502",363,44,0.254335260115607,7.34628742208964e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27"
"AF406525.1.1413",9570,114,0.658959537572254,0.00206507108368569,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"AF406530.1.1447",2583,90,0.520231213872832,0.000609751398452863,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"AF406533.1.1426",1260,88,0.508670520231214,0.000307698853778851,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"AF406542.1.1403",5083,101,0.583815028901734,0.00107752662036043,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1",NA
"AF468289.1.1432",614,37,0.213872832369942,0.000162817217214488,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oleispira"
"AF468303.1.1428",114,20,0.115606936416185,2.27889771038323e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Ulvibacter"
