"Taxon","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"EU919859.1.1444",174,40,0.23121387283237,4.33750843958956e-05,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"EU925855.1.1506",121,32,0.184971098265896,2.65002596330238e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria",NA,NA
"EU925896.1.1520",58,22,0.127167630057803,1.57980176877891e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria",NA,NA
"EU935247.1.1220",89,41,0.236994219653179,2.06908690201926e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"FAXC01000432.4183.5737",8582,40,0.23121387283237,0.00176335267010838,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"FJ000090.1.1615",59,38,0.219653179190751,1.35098640484448e-05,"Eukaryota","Excavata","Discoba","Discicristata","Euglenozoa","Diplonemea"
"FJ000247.1.1396",2011,40,0.23121387283237,0.000439091215844242,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Amoebophrya"
"FJ000270.1.1389",117,28,0.161849710982659,2.51785149532921e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Syndiniales"
"FJ002179.1.1413",83,23,0.132947976878613,2.01736079171449e-05,"Bacteria","Cyanobacteria","Chloroplast","Attheya",NA,NA
"FJ002230.1.1431",142,38,0.219653179190751,4.04718640549877e-05,"Bacteria","Cyanobacteria","Chloroplast","Extubocellulus",NA,NA
"FJ024321.1.1503",57,25,0.144508670520231,1.38452900047176e-05,"Bacteria","Proteobacteria","SPOTSOCT00m83","uncultured",NA,NA
"FJ032684.1.1917",372,83,0.479768786127168,8.81981118679817e-05,"Eukaryota","Excavata","Discoba","Discicristata","Euglenozoa","Diplonemea"
"FJ150810.1.1353",435,46,0.265895953757225,7.88504523730603e-05,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"FJ150819.1.1297",317,37,0.213872832369942,6.49034377635927e-05,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"FJ150825.1.1353",265,28,0.161849710982659,5.76604919209793e-05,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"FJ150826.1.1353",2349,48,0.277456647398844,0.000500245811498664,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"FJ150828.1.1353",818,35,0.202312138728324,0.000177641988042482,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"FJ150834.1.1353",231,32,0.184971098265896,5.13089656137116e-05,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"FJ152940.1.1480",92,29,0.167630057803468,1.91496708151899e-05,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiales",NA
"FJ155060.1.1532",124,37,0.213872832369942,3.31652938682631e-05,"Bacteria","Verrucomicrobia","OPB35",NA,NA,NA
"FJ176219.1.1688",132,60,0.346820809248555,3.58664995464172e-05,"Eukaryota","Incertae",NA,NA,NA,NA
"FJ184061.1.1407",50,25,0.144508670520231,9.42073945846221e-06,"Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus"
"FJ202272.1.1482",308,37,0.213872832369942,7.84928076739256e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oleispira"
"FJ202384.1.1478",55,34,0.196531791907514,1.19370260782206e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","uncultured"
"FJ202704.1.1469",105,31,0.179190751445087,3.07020040287092e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella"
"FJ203457.1.1440",112,25,0.144508670520231,2.10185507837142e-05,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996",NA
"FJ205179.1.1436",52,21,0.121387283236994,1.17081931918523e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"FJ205233.1.1487",51,20,0.115606936416185,1.14192117693366e-05,"Bacteria","Acidobacteria","Subgroup",NA,NA,NA
"FJ205335.1.1480",54,23,0.132947976878613,1.47310786981806e-05,"Bacteria","Proteobacteria","JTB23","uncultured",NA,NA
"FJ205348.1.1440",152,25,0.144508670520231,3.21880457487178e-05,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"FJ205377.1.1430",103,19,0.109826589595376,2.40086576213891e-05,"Bacteria","Chloroflexi","TK10","uncultured",NA,NA
"FJ230846.1.1328",60,18,0.104046242774566,1.26850441078541e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured"
"FJ358928.1.1460",102,40,0.23121387283237,2.9143617481572e-05,"Bacteria","Verrucomicrobia","Opitutae","MB11C04",NA,NA
"FJ403066.1.1491",106,37,0.213872832369942,3.01290510771158e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"FJ404751.1.1494",50,18,0.104046242774566,1.58472841543888e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"FJ415678.1.1278",583,95,0.549132947976879,0.000164854066128388,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"FJ457234.1.1374",90,24,0.138728323699422,2.73816336347911e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas"
"FJ481371.1.1402",278,33,0.190751445086705,5.97883277067152e-05,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"FJ481376.1.1394",123,22,0.127167630057803,2.84850189137897e-05,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"FJ487501.1.1366",95,25,0.144508670520231,1.88059326890296e-05,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"FJ493498.31800.33298",79,23,0.132947976878613,2.12876971571103e-05,"Bacteria","Cyanobacteria","Chloroplast","Pycnococcus",NA,NA
"FJ497456.1.1445",130,25,0.144508670520231,3.13326260621542e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncultured"
"FJ497471.1.1456",72,23,0.132947976878613,1.79661750266059e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"FJ497472.1.1444",299,72,0.416184971098266,7.59171835390533e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"FJ497496.1.1440",119,51,0.294797687861272,2.89870723030683e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","uncultured"
"FJ529346.1.1400",95,43,0.248554913294798,2.14882545475399e-05,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996",NA
"FJ537305.1.1754",154,34,0.196531791907514,3.50413537302935e-05,"Eukaryota","Archaeplastida","Chloroplastida","Chlorophyta","Clade",NA
"FJ537311.1.1800",419,70,0.404624277456647,0.000104455100879819,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","uncultured",NA
"FJ537319.1.1778",247,57,0.329479768786127,6.86872603387265e-05,"Eukaryota","SAR","Stramenopiles","Ochrophyta","Chrysophyceae","E222"
"FJ537323.1.1797",146,46,0.265895953757225,3.39364895711659e-05,"Eukaryota","SAR","Rhizaria","Retaria","RAD",NA
"FJ537336.1.1799",70,33,0.190751445086705,1.62259364831413e-05,"Eukaryota","Haptophyta","T58","uncultured",NA,NA
"FJ537338.1.1750",68,23,0.132947976878613,1.98674385455517e-05,"Eukaryota","SAR","Stramenopiles","Ochrophyta","Chrysophyceae","LG01-09"
"FJ537342.1.1758",81,23,0.132947976878613,1.9397848110252e-05,"Eukaryota","Haptophyta","T58","uncultured",NA,NA
"FJ537355.1.1794",586,65,0.375722543352601,0.000146446186246019,"Eukaryota","Haptophyta","Prymnesiophyceae","Prymnesiales","OLI16029","uncultured"
"FJ537356.1.1779",142,23,0.132947976878613,3.75260557970685e-05,"Eukaryota","SAR","Stramenopiles","Ochrophyta","Chrysophyceae","LG01-09"
"FJ545512.1.1510",281,24,0.138728323699422,8.80697103001027e-05,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996",NA
"FJ545527.1.1500",670,42,0.242774566473988,0.000190544191768363,"Bacteria","Proteobacteria","SPOTSOCT00m83","uncultured",NA,NA
"FJ545538.1.1526",2391,85,0.491329479768786,0.000606996475875011,"Bacteria","Proteobacteria","Gammaproteobacteria","KI89A",NA,NA
"FJ545540.1.1519",406,84,0.485549132947977,0.000118526609013104,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured"
"FJ545544.1.1457",509,59,0.341040462427746,0.000119615200198802,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans"
"FJ545604.1.1526",456,54,0.312138728323699,0.000150653260125828,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)"
"FJ545620.1.1554",246,52,0.300578034682081,7.23471116187076e-05,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"FJ545621.1.1468",260,72,0.416184971098266,7.27388735730256e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"FJ545627.1.1478",1465,104,0.601156069364162,0.000398646936472678,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"FJ545633.1.1466",4082,157,0.907514450867052,0.00110234279794276,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"FJ612150.1.1429",685,54,0.312138728323699,0.000173991088914184,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"FJ615107.1.1293",319,88,0.508670520231214,8.50265225405503e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"FJ615110.1.1292",275,37,0.213872832369942,7.16378821876266e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","OCS116",NA
"FJ615148.1.1416",457,38,0.219653179190751,0.000104620804782415,"Bacteria","Parcubacteria","Candidatus",NA,NA,NA
"FJ615156.1.1457",383,49,0.283236994219653,8.0460378817196e-05,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996",NA
"FJ615157.1.1491",905,59,0.341040462427746,0.000207640386623294,"Bacteria","Gemmatimonadetes","BD2-11",NA,NA,NA
"FJ615160.1.1456",281,46,0.265895953757225,8.5424841921527e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Crocinitomix"
"FJ615480.1.915",133,20,0.115606936416185,2.82778722621516e-05,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"FJ615481.1.915",423,27,0.15606936416185,8.77104843712926e-05,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"FJ626884.1.1381",62,31,0.179190751445087,1.54465760996567e-05,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996",NA
"FJ626901.1.1422",132,56,0.323699421965318,3.41587412763078e-05,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","DEV007","uncultured"
"FJ628174.1.1541",103,38,0.219653179190751,2.18541753392598e-05,"Bacteria","Planctomycetes","OM190","uncultured",NA,NA
"FJ628329.1.1481",85,19,0.109826589595376,2.72389944022345e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncultured"
"FJ628341.1.1484",460,54,0.312138728323699,0.000137169609681726,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"FJ666179.1.1205",413,50,0.289017341040462,7.21748776601429e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospira"
"FJ712430.1.1495",426,34,0.196531791907514,0.000124387194076667,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255",NA
"FJ716274.1.1524",59,23,0.132947976878613,1.20623507260783e-05,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"FJ744783.1.1367",271,81,0.468208092485549,7.62816114847739e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)"
"FJ744794.1.1372",146,43,0.248554913294798,3.43388164164507e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)"
"FJ744804.1.1372",180,39,0.225433526011561,4.77441868406254e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4"
"FJ744818.1.1367",121,23,0.132947976878613,3.08583746902397e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncultured"
"FJ744822.1.1336",146,35,0.202312138728324,4.76893318048901e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured"
"FJ744833.1.1343",83,40,0.23121387283237,2.03961265740837e-05,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"FJ744842.1.1329",761,44,0.254335260115607,0.000161376835636316,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"FJ744851.1.1336",59,21,0.121387283236994,1.54642365923839e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"FJ744890.1.1306",928,53,0.30635838150289,0.000228027661013196,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured"
"FJ744908.1.1331",57,30,0.173410404624277,1.40281019691648e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"FJ744956.1.1371",468,74,0.427745664739884,0.000123601880202568,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"FJ744961.1.1302",1561,67,0.38728323699422,0.000465250438082315,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured"
"FJ744974.1.1389",132,41,0.236994219653179,2.89985887607202e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","E01-9C-26",NA,NA
"FJ744986.1.1343",130,61,0.352601156069364,3.49366531134705e-05,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseibacillus"
"FJ745081.1.1358",569,39,0.225433526011561,0.000134307546984367,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1",NA
"FJ745086.1.1292",83,49,0.283236994219653,2.40670789700554e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured"
"FJ745099.1.1304",395,41,0.236994219653179,0.000106924708382029,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","uncultured"
"FJ745102.1.1368",400,39,0.225433526011561,0.000109645132228441,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"FJ745117.1.1319",80,49,0.283236994219653,2.122830825266e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"FJ745131.1.1372",151,49,0.283236994219653,3.95211427177752e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"FJ745148.1.1391",362,23,0.132947976878613,0.000104041484778269,"Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Lentimonas"
"FJ745177.1.1372",107,52,0.300578034682081,2.64136823426601e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncultured"
"FJ745191.1.1322",1390,63,0.364161849710983,0.000358016113994908,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"FJ745195.1.1308",198,41,0.236994219653179,4.8742868922917e-05,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"FJ745204.1.1322",1095,50,0.289017341040462,0.000306304978071471,"Bacteria","Proteobacteria","Elev-16S-509","uncultured",NA,NA
"FJ745206.1.1366",763,80,0.46242774566474,0.000207450445349681,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)"
"FJ745210.1.1322",93,34,0.196531791907514,2.48953277706808e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27"
"FJ745214.1.1374",54,34,0.196531791907514,1.36214649403618e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Pseudohongiella"
"FJ745219.1.1374",2887,123,0.710982658959538,0.000717394075752733,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola"
"FJ745229.1.1369",772,28,0.161849710982659,0.000143600102505993,"Bacteria","Proteobacteria","Gammaproteobacteria","uncultured","uncultured",NA
"FJ745232.1.1356",1153,95,0.549132947976879,0.000275961871132603,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"FJ745233.1.1329",260,57,0.329479768786127,8.00567780478647e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured"
"FJ745242.1.1310",570,70,0.404624277456647,0.000154624244481365,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"FJ745245.1.1358",74,30,0.173410404624277,2.0444674965664e-05,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1",NA
"FJ745251.1.1308",570,96,0.554913294797688,0.000147772584186927,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116",NA
"FJ748779.1.1500",55,26,0.15028901734104,1.12558825002541e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255",NA
"FJ825868.1.1491",290,31,0.179190751445087,0.000107319594906613,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)"
"FJ825876.1.1410",151,20,0.115606936416185,3.36716763018363e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Salinimonas"
"FJ825935.1.1494",491,35,0.202312138728324,0.00014720410072188,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"FJ825937.1.1478",273,18,0.104046242774566,7.46373941480389e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncultured"
"FJ825980.1.1475",902,124,0.716763005780347,0.000224312115558755,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncultured"
"FJ825981.1.1442",83,41,0.236994219653179,1.92312904616067e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116",NA
"FJ826020.1.1352",161,43,0.248554913294798,4.66911313198082e-05,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"FJ826030.1.1428",294,76,0.439306358381503,8.72269275869456e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116",NA
"FJ826041.1.1401",157,43,0.248554913294798,4.36395328355134e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)"
"FJ826052.1.1446",866,83,0.479768786127168,0.000246110289369081,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria",NA,NA
"FJ826098.1.1436",689,34,0.196531791907514,0.000202608355262631,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"FJ826110.1.1441",77,42,0.242774566473988,2.0011419085988e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter"
"FJ826217.1.1434",249,66,0.38150289017341,6.1412093579756e-05,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"FJ826218.1.1429",3514,51,0.294797687861272,0.00092875249754189,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella"
"FJ826248.1.1455",1187,89,0.514450867052023,0.000269337364645072,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"FJ826265.1.1219",215,49,0.283236994219653,4.63334394107357e-05,"Bacteria","Cyanobacteria","Chloroplast","uncultured",NA,NA
"FJ826308.1.1500",113,30,0.173410404624277,3.08242909058498e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","uncultured"
"FJ826312.1.1447",184,44,0.254335260115607,5.92073889423481e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116",NA
"FJ826327.1.1421",329,28,0.161849710982659,8.13803912171285e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktomarina"
"FJ826401.1.1447",106,40,0.23121387283237,2.79804607219523e-05,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Blastopirellula"
"FJ826490.1.1479",495,75,0.433526011560694,0.000129684457984863,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"FJ832103.1.1586",137,43,0.248554913294798,3.24064379111879e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Syndiniales"
"FJ832126.1.1602",59,27,0.15606936416185,1.43844002924941e-05,"Eukaryota","BW-dinoclone28","uncultured",NA,NA,NA
"FJ876971.1.1750",1502,20,0.115606936416185,0.000444778315389464,"Eukaryota","SAR","Alveolata","Ciliophora","Intramacronucleata","Conthreep"
"FJ900328.1.1492",237,28,0.161849710982659,4.69142810172212e-05,"Bacteria","PAUC34f","uncultured",NA,NA,NA
"FJ900348.1.1407",102,25,0.144508670520231,2.3505358048656e-05,"Bacteria","Chloroflexi","JG30-KF-CM66","uncultured",NA,NA
"FJ903194.1.1522",137,33,0.190751445086705,3.05753329333971e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","uncultured"
"FJ914468.1.1518",117,54,0.312138728323699,3.14004532134566e-05,"Eukaryota","SAR","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniphycidae"
"FJ980803.1.1485",199,38,0.219653179190751,4.4102601734364e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS2b"
"FJ981252.1.917",355,41,0.236994219653179,7.85077209295466e-05,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"FJ999605.1.1329",116,25,0.144508670520231,3.096554548279e-05,"Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus"
"FJ999610.1.1343",146,23,0.132947976878613,4.90494311784831e-05,"Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus"
"FKJQ01000513.2778.4415",881,51,0.294797687861272,0.000184941670539616,"Eukaryota","Opisthokonta","Nucletmycea","Fungi","Dikarya","Ascomycota"
"FM242233.1.1484",67,21,0.121387283236994,2.36336283720759e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oleiphilaceae","Oleiphilus"
"FM242300.1.1515",58,35,0.202312138728324,1.27239372518712e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","OM182",NA
"FM242420.1.1501",201,84,0.485549132947977,4.77258852124117e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","OM182",NA
"FM242450.1.1408",461,68,0.393063583815029,9.37710522530822e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Ponticaulis"
"FM992724.1.1457",150,26,0.15028901734104,3.48612803809589e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Salinimonas"
"FM994666.1.1488",475,94,0.543352601156069,0.000123644330001318,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"FN433320.1.1573",16289,130,0.751445086705202,0.00391276878305647,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS2b"
"FN433324.1.1577",1578,35,0.202312138728324,0.000489708537984436,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured"
"FN433325.1.1546",9493,46,0.265895953757225,0.00263164614982277,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa"
"FN433337.1.1496",491,18,0.104046242774566,0.000201991259459159,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","uncultured"
"FN433348.1.1495",2898,74,0.427745664739884,0.000814239578092905,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"FN433363.1.1498",3890,103,0.595375722543353,0.000967165837765267,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"FN433375.1.1492",5242,90,0.520231213872832,0.00168360732367957,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"FN433379.1.1490",1573,65,0.375722543352601,0.000463290161342003,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"FN433389.1.1466",703,26,0.15028901734104,0.000222288637422841,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncultured"
"FN433409.1.1491",19227,96,0.554913294797688,0.00488373028031732,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"FN433412.1.1496",3819,93,0.53757225433526,0.000816320173611072,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4"
"FN433426.1.1497",4290,123,0.710982658959538,0.0010227026539478,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"FN435254.1.1524",864,36,0.208092485549133,0.000223342388975047,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","NS11-12",NA
"FN553456.1.1494",152,69,0.398843930635838,3.3890663330013e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","uncultured"
"FN553470.1.1474",80,19,0.109826589595376,1.81233650709174e-05,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"FN553515.1.1520",66,26,0.15028901734104,1.28299473303034e-05,"Bacteria","Gemmatimonadetes","BD2-11",NA,NA,NA
"FN598297.1.1344",51,22,0.127167630057803,1.26059803923974e-05,"Eukaryota","Excavata","Discoba","Discicristata","Euglenozoa","Diplonemea"
"FN598439.1.1838",51,22,0.127167630057803,1.02016233256027e-05,"Eukaryota","SAR","Alveolata","Protalveolata","Syndiniales","Syndinium"
"FN690339.1.1657",76,25,0.144508670520231,1.93861095199647e-05,"Eukaryota","SAR","Alveolata","Ciliophora","Intramacronucleata","Conthreep"
"FN690456.1.1738",165,40,0.23121387283237,3.93609754564502e-05,"Eukaryota","Cryptophyceae","Cryptomonadales","uncultured",NA,NA
"FN690666.1.1677",229,21,0.121387283236994,5.4943811108843e-05,"Eukaryota","SAR","Stramenopiles","Ochrophyta","Dictyochophyceae","Pedinellales"
"FN773279.1.1471",282,28,0.161849710982659,9.02226150000246e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Emcibacterales","Emcibacteraceae","Emcibacter"
"FQ032802.35287.36802",5127,40,0.23121387283237,0.00136989699810987,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","uncultured"
