"method","MethodLabel","n_tested","n_significant"
"AHC","AHC",4664,3487
"CLR_pc0.01","CLR (pc = 0.01)",4664,3619
"CLR_pc0.5","CLR (pc = 0.5)",4664,3692
"CLR_pc1","CLR (pc = 1)",4664,3690
"DESeq2_LRT","DESeq2",4664,3171
"LEfSe","LEfSe",1433,1433
