"Taxon","AHC","CLR_pc0.01","CLR_pc0.5","CLR_pc1","DESeq2","LEfSe"
"AB125367.1.1472",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB178580.1.1791",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB183265.1.1724",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB183628.1.1747",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB189345.1.1469",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB193901.1.1435",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB193903.1.1434",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB193918.1.1524",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB193954.1.1469",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB193958.1.1441",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB193975.1.1441",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB193977.1.1470",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB193994.1.1472",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB193999.1.1440",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB194000.1.1442",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB199884.1.1222",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB199885.1.1217",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB199886.1.1219",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB199887.1.1217",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB217630.1.1814",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB250557.1.1480",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB275035.1.1709",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"AB275045.1.1719",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
