"AHC","CLR_pc0.01","CLR_pc0.5","CLR_pc1","LEfSe","Counts"
0,0,0,0,0,818
0,0,0,0,1,9
0,0,0,1,0,26
0,0,0,1,1,0
0,0,1,0,0,2
0,0,1,0,1,0
0,0,1,1,0,68
0,0,1,1,1,3
0,1,0,0,0,68
0,1,0,0,1,1
0,1,0,1,0,0
0,1,0,1,1,0
0,1,1,0,0,20
0,1,1,0,1,0
0,1,1,1,0,137
0,1,1,1,1,25
1,0,0,0,0,18
1,0,0,0,1,7
1,0,0,1,0,8
1,0,0,1,1,2
1,0,1,0,0,0
1,0,1,0,1,0
1,0,1,1,0,63
1,0,1,1,1,21
1,1,0,0,0,15
1,1,0,0,1,0
1,1,0,1,0,0
1,1,0,1,1,0
1,1,1,0,0,16
1,1,1,0,1,0
1,1,1,1,0,1972
1,1,1,1,1,1365
