"metric","value"
"samples_original",180
"samples_used_SRF_DCM_MES",173
"taxa_original",23969
"taxa_used_nonzero_in_selected_layers",23692
"zero_fraction_selected",0.91860109361078
"median_library_size",24482
"min_library_size",9538
"max_library_size",45168
"SRF_n",83
"DCM_n",52
"MES_n",38
