"method","MethodLabel","Taxon","baseMean","statistic","p_value","padj","significant","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"DESeq2_LRT","DESeq2","GU145420.1.1491",44.5738840799087,37.8378837597888,6.07586251576248e-09,2.64345361693248e-08,TRUE,7920,136,0.786127167630058,0.00164619410030531,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"DESeq2_LRT","DESeq2","GU145451.1.1466",2.57162961304922,93.2248122798123,5.70806914344471e-21,1.03187730562117e-19,TRUE,516,49,0.283236994219653,0.000116615058135725,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","JL-ETNP-F27"
"DESeq2_LRT","DESeq2","GU145456.1.1494",1.34777099515761,1.55826485988081,0.458803883201688,0.506197886612095,FALSE,1155,27,0.15606936416185,0.000349306331254051,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Oleibacter"
"DESeq2_LRT","DESeq2","GU145457.1.1468",1.00856791706596,0.525103172297122,0.769086689125031,0.798713052344499,FALSE,180,37,0.213872832369942,3.90005411871033e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27"
"DESeq2_LRT","DESeq2","GU145475.1.1442",1.87936723771554,28.4276891616267,6.71437714662818e-07,2.16868802021287e-06,TRUE,367,27,0.15606936416185,7.72246372259121e-05,"Bacteria","Parcubacteria","uncultured",NA,NA,NA
"DESeq2_LRT","DESeq2","GU145487.1.1483",1.28014828690427,43.2762828144636,4.00566465360985e-10,2.08509151165584e-09,TRUE,270,32,0.184971098265896,5.70587836631664e-05,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Lentimicrobiaceae","uncultured"
"DESeq2_LRT","DESeq2","GU145495.1.1523",64.6151683128326,23.3424120546514,8.53610257464764e-06,2.33777935455999e-05,TRUE,11762,24,0.138728323699422,0.0026274590853582,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"DESeq2_LRT","DESeq2","GU145504.1.1494",0.408398235106189,1.96778471695222,0.373853092896312,0.422847330512345,FALSE,72,37,0.213872832369942,1.72447361989122e-05,"Bacteria","Cyanobacteria","ML635J-21","uncultured",NA,NA
"DESeq2_LRT","DESeq2","GU145506.1.1520",0.252811283458387,8.86051612784155,0.0119114153695711,0.0192804342674762,TRUE,51,18,0.104046242774566,1.2530496202537e-05,"Bacteria","Planctomycetes","028H05-P-BN-P5","uncultured",NA,NA
"DESeq2_LRT","DESeq2","GU145508.1.1474",1.2226763466563,69.7326576477975,7.20685505473246e-16,7.51963578865149e-15,TRUE,238,37,0.213872832369942,5.64542552356876e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
