"AHC","CLR_pc0.01","CLR_pc0.5","CLR_pc1","DESeq2","Counts"
0,0,0,0,0,124
0,0,0,0,1,25
0,0,0,1,0,1
0,0,0,1,1,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,1,1,0,5
0,0,1,1,1,1
0,1,0,0,0,2
0,1,0,0,1,0
0,1,0,1,0,0
0,1,0,1,1,0
0,1,1,0,0,1
0,1,1,0,1,0
0,1,1,1,0,8
0,1,1,1,1,3
1,0,0,0,0,2
1,0,0,0,1,5
1,0,0,1,0,0
1,0,0,1,1,1
1,0,1,0,0,0
1,0,1,0,1,0
1,0,1,1,0,0
1,0,1,1,1,4
1,1,0,0,0,0
1,1,0,0,1,0
1,1,0,1,0,0
1,1,0,1,1,0
1,1,1,0,0,0
1,1,1,0,1,0
1,1,1,1,0,11
1,1,1,1,1,26
