"arm","ArmLabel","n_samples","n_features","mean_alpha","gamma","beta","gamma_minus_mean_alpha"
"control","Control",221,6647,0.0685223237631432,0.16349739193876,0.094975068175617,0.0949750681756171
"treatment","Treatment",277,6647,0.0654438184053655,0.156020595405544,0.0905767770001784,0.0905767770001784
