"rep_id","transformation","power","fdr","TP","FP","FN","rejections","alpha","beta0","beta","q"
5,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
5,"ILR",0,1,0,3,25,3,1,1,1,0.2
6,"AHC",0,1,0,1,25,1,1,1,1,0.2
6,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
6,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
6,"ILR",0.04,0.857142857142857,1,6,24,7,1,1,1,0.2
7,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
7,"ALR",0,NA,0,0,25,0,1,1,1,0.2
7,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
7,"ILR",0,1,0,3,25,3,1,1,1,0.2
8,"AHC",0,1,0,2,25,2,1,1,1,0.2
8,"ALR",0,NA,0,0,25,0,1,1,1,0.2
8,"CLR",0,1,0,3,25,3,1,1,1,0.2
8,"ILR",0,1,0,3,25,3,1,1,1,0.2
9,"AHC",0,NA,0,0,25,0,1,1,1,0.2
9,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
9,"CLR",0,NA,0,0,25,0,1,1,1,0.2
9,"ILR",0,NA,0,0,25,0,1,1,1,0.2
10,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
10,"ALR",0.16,0,4,0,21,4,1,1,1,0.2
10,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
10,"ILR",0,1,0,2,25,2,1,1,1,0.2
11,"AHC",0.04,0.75,1,3,24,4,1,1,1,0.2
11,"ALR",0.28,0,7,0,18,7,1,1,1,0.2
11,"CLR",0,1,0,2,25,2,1,1,1,0.2
11,"ILR",0.04,0.75,1,3,24,4,1,1,1,0.2
12,"AHC",0,1,0,4,25,4,1,1,1,0.2
12,"ALR",0.32,0,8,0,17,8,1,1,1,0.2
12,"CLR",0,1,0,2,25,2,1,1,1,0.2
12,"ILR",0,1,0,5,25,5,1,1,1,0.2
13,"AHC",0,1,0,1,25,1,1,1,1,0.2
13,"ALR",0,NA,0,0,25,0,1,1,1,0.2
13,"CLR",0,NA,0,0,25,0,1,1,1,0.2
13,"ILR",0.04,0.75,1,3,24,4,1,1,1,0.2
14,"AHC",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
14,"ALR",0.16,0,4,0,21,4,1,1,1,0.2
14,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
14,"ILR",0.08,0.333333333333333,2,1,23,3,1,1,1,0.2
15,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
15,"ALR",0,NA,0,0,25,0,1,1,1,0.2
15,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
15,"ILR",0.04,0.75,1,3,24,4,1,1,1,0.2
16,"AHC",0,NA,0,0,25,0,1,1,1,0.2
16,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
16,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
16,"ILR",0.04,0,1,0,24,1,1,1,1,0.2
17,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
17,"ALR",0,NA,0,0,25,0,1,1,1,0.2
17,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
17,"ILR",0,1,0,1,25,1,1,1,1,0.2
18,"AHC",0,1,0,2,25,2,1,1,1,0.2
18,"ALR",0,NA,0,0,25,0,1,1,1,0.2
18,"CLR",0,1,0,1,25,1,1,1,1,0.2
18,"ILR",0.04,0,1,0,24,1,1,1,1,0.2
19,"AHC",0,1,0,1,25,1,1,1,1,0.2
19,"ALR",0,NA,0,0,25,0,1,1,1,0.2
19,"CLR",0,1,0,1,25,1,1,1,1,0.2
