"shbeta_between","fit","lower","upper","signal_mode","r_squared"
0.00316339422079981,0.740997482471898,0.740997482471898,0.740997482471899,"Abundance",1
0.00317710116776459,0.744208215148369,0.744208215148369,0.744208215148369,"Abundance",1
0.00319080811472938,0.74741894782484,0.74741894782484,0.74741894782484,"Abundance",1
0.00320451506169416,0.750629680501311,0.75062968050131,0.750629680501311,"Abundance",1
0.00321822200865895,0.753840413177782,0.753840413177781,0.753840413177782,"Abundance",1
0.00323192895562373,0.757051145854253,0.757051145854252,0.757051145854253,"Abundance",1
0.00324563590258852,0.760261878530724,0.760261878530723,0.760261878530724,"Abundance",1
0.0032593428495533,0.763472611207195,0.763472611207194,0.763472611207195,"Abundance",1
0.00327304979651809,0.766683343883666,0.766683343883665,0.766683343883666,"Abundance",1
0.00328675674348287,0.769894076560136,0.769894076560136,0.769894076560137,"Abundance",1
0.00330046369044766,0.773104809236607,0.773104809236607,0.773104809236608,"Abundance",1
0.00331417063741244,0.776315541913078,0.776315541913078,0.776315541913079,"Abundance",1
0.00332787758437723,0.779526274589549,0.779526274589549,0.77952627458955,"Abundance",1
0.00334158453134201,0.78273700726602,0.78273700726602,0.782737007266021,"Abundance",1
0.0033552914783068,0.785947739942491,0.785947739942491,0.785947739942492,"Abundance",1
0.00336899842527158,0.789158472618962,0.789158472618962,0.789158472618962,"Abundance",1
0.00338270537223637,0.792369205295433,0.792369205295433,0.792369205295433,"Abundance",1
0.00339641231920115,0.795579937971904,0.795579937971904,0.795579937971904,"Abundance",1
0.00341011926616594,0.798790670648375,0.798790670648375,0.798790670648375,"Abundance",1
0.00342382621313072,0.802001403324846,0.802001403324846,0.802001403324846,"Abundance",1
0.0034375331600955,0.805212136001317,0.805212136001316,0.805212136001317,"Abundance",1
0.00345124010706029,0.808422868677788,0.808422868677787,0.808422868677788,"Abundance",1
0.00346494705402507,0.811633601354259,0.811633601354258,0.811633601354259,"Abundance",1
0.00347865400098986,0.81484433403073,0.814844334030729,0.81484433403073,"Abundance",1
0.00349236094795464,0.818055066707201,0.8180550667072,0.818055066707201,"Abundance",1
0.00350606789491943,0.821265799383672,0.821265799383671,0.821265799383672,"Abundance",1
0.00351977484188421,0.824476532060142,0.824476532060142,0.824476532060143,"Abundance",1
0.003533481788849,0.827687264736613,0.827687264736613,0.827687264736614,"Abundance",1
0.00354718873581378,0.830897997413084,0.830897997413084,0.830897997413085,"Abundance",1
0.00356089568277857,0.834108730089555,0.834108730089555,0.834108730089556,"Abundance",1
0.00357460262974335,0.837319462766026,0.837319462766026,0.837319462766027,"Abundance",1
0.00358830957670814,0.840530195442497,0.840530195442497,0.840530195442497,"Abundance",1
0.00360201652367292,0.843740928118968,0.843740928118968,0.843740928118968,"Abundance",1
0.00361572347063771,0.846951660795439,0.846951660795439,0.846951660795439,"Abundance",1
0.00362943041760249,0.85016239347191,0.85016239347191,0.85016239347191,"Abundance",1
0.00364313736456728,0.853373126148381,0.853373126148381,0.853373126148381,"Abundance",1
0.00365684431153206,0.856583858824852,0.856583858824851,0.856583858824852,"Abundance",1
0.00367055125849685,0.859794591501323,0.859794591501322,0.859794591501323,"Abundance",1
0.00368425820546163,0.863005324177794,0.863005324177793,0.863005324177794,"Abundance",1
0.00369796515242642,0.866216056854265,0.866216056854264,0.866216056854265,"Abundance",1
0.0037116720993912,0.869426789530735,0.869426789530735,0.869426789530736,"Abundance",1
0.00372537904635599,0.872637522207206,0.872637522207206,0.872637522207207,"Abundance",1
0.00373908599332077,0.875848254883677,0.875848254883677,0.875848254883678,"Abundance",1
0.00375279294028555,0.879058987560148,0.879058987560148,0.879058987560149,"Abundance",1
0.00376649988725034,0.882269720236619,0.882269720236619,0.88226972023662,"Abundance",1
0.00378020683421512,0.88548045291309,0.88548045291309,0.88548045291309,"Abundance",1
0.00379391378117991,0.888691185589561,0.888691185589561,0.888691185589562,"Abundance",1
0.00380762072814469,0.891901918266032,0.891901918266032,0.891901918266032,"Abundance",1
0.00382132767510948,0.895112650942503,0.895112650942503,0.895112650942503,"Abundance",1
0.00383503462207426,0.898323383618974,0.898323383618974,0.898323383618974,"Abundance",1
0.00384874156903905,0.901534116295445,0.901534116295445,0.901534116295445,"Abundance",1
0.00386244851600383,0.904744848971916,0.904744848971916,0.904744848971916,"Abundance",1
0.00387615546296862,0.907955581648387,0.907955581648386,0.907955581648387,"Abundance",1
0.0038898624099334,0.911166314324858,0.911166314324857,0.911166314324858,"Abundance",1
0.00390356935689819,0.914377047001329,0.914377047001328,0.914377047001329,"Abundance",1
0.00391727630386297,0.9175877796778,0.917587779677799,0.9175877796778,"Abundance",1
0.00393098325082776,0.92079851235427,0.92079851235427,0.920798512354271,"Abundance",1
0.00394469019779254,0.924009245030741,0.924009245030741,0.924009245030742,"Abundance",1
0.00395839714475733,0.927219977707212,0.927219977707212,0.927219977707213,"Abundance",1
0.00397210409172211,0.930430710383683,0.930430710383683,0.930430710383684,"Abundance",1
0.0039858110386869,0.933641443060154,0.933641443060154,0.933641443060155,"Abundance",1
0.00399951798565168,0.936852175736625,0.936852175736625,0.936852175736625,"Abundance",1
0.00401322493261647,0.940062908413096,0.940062908413096,0.940062908413096,"Abundance",1
