method,power_rare,power_mix,power_abundant,type1_rare,type1_mix,type1_abundant
AHC,0.03423184523809469,0.1820377976190473,0.30634017857142914,3.6179293720411124e-4,6.127641151489671e-4,0.0025197742620439835
RAHC (min-var),0.018338425925928808,0.16049122458925244,0.2921607142857146,4.583464037911362e-4,5.848318383443987e-4,0.0027663947830832082
ALR (min-var),0.016408576998047816,0.10476000069617526,0.191488095238096,0.002012425248381695,0.0012479111121320857,0.0012983717300151239
CLR,0.0360863095238137,0.15353273809522974,0.2581345238095126,0.003359428519213062,0.0031831014167346626,0.0032163512078822684
ILR,0.01768601190476144,0.019772916666666657,0.09175267857142719,0.005492772806189893,0.020191719544376527,0.017985646861046797
