diff_otu_mode,transformation,mean_power,sd_power,mean_fdp,sd_fdp,mean_rej,n
rare,CLR,0.035651190476190225,0.06565509540957018,0.035895351473921575,0.17625969608274394,0.44660714285714287,84000
rare,ALR_signal_ref,0.03354563492063088,0.08996469445018468,0.22281651828074414,0.3962997078904897,1.3767142857142858,84000
rare,AHC,0.0335238095238088,0.06008828455091881,0.024728968253968503,0.14777147912929095,0.40835714285714286,84000
rare,RAHC_signal_ref,0.024562552213868025,0.07192981447728705,0.18216624873729761,0.3707117216552693,0.8435952380952381,84000
rare,ALR_last_ref,0.018981196045667455,0.05599652024569321,0.10725252683378911,0.2966388512676614,0.5354880952380953,84000
rare,RAHC_minvar_ref,0.01842829991646031,0.0476892285682423,0.029440929705215425,0.16291104104273327,0.2514404761904762,84000
rare,ALR_minvar_ref,0.016464062935115892,0.048026165045249994,0.02950822099440491,0.16178609405533267,0.24204761904761904,84000
rare,RAHC_last_ref,0.015442613478137232,0.04577549481970567,0.08810951373361553,0.2741916812357461,0.3519880952380952,84000
rare,ILR,0.014915476190472727,0.0367194557550292,0.18451364795917655,0.37507013397269695,0.4576904761904762,84000
rare,ALR_random_ref,0.01462671957671961,0.054280519079167804,0.04900317283796011,0.20368919457236256,0.3488095238095238,84000
rare,ALR_nondiff_ref,0.012535119047622672,0.04000598867044511,0.019763565501958184,0.1350760146322681,0.1806547619047619,84000
rare,RAHC_nondiff_ref,0.010463095238096033,0.03518407775618495,0.021052083333333086,0.1405476185424566,0.15291666666666667,84000
rare,RAHC_random_ref,0.008657762461710353,0.040914275167383496,0.046268326522600996,0.20204937709119902,0.2336547619047619,84000
mix,AHC,0.18104583333333285,0.13065319842819512,0.018658092535770988,0.09859560658992973,2.10225,84000
mix,RAHC_minvar_ref,0.15996656571985543,0.12596543548038763,0.019282058682058595,0.10676956860495457,1.8655595238095237,84000
mix,CLR,0.14505833333333246,0.12649485756133125,0.02276029383975752,0.12042055361291372,1.6900119047619047,84000
mix,RAHC_last_ref,0.142636567112223,0.12286424139437128,0.03683641064433963,0.16026236060946214,1.7138333333333333,84000
mix,RAHC_nondiff_ref,0.14245654761904705,0.12075295385693495,0.018620830327080295,0.1086796652759301,1.6675595238095238,84000
mix,RAHC_signal_ref,0.140456662489555,0.14634356418592648,0.18007646380423145,0.3378327330923424,2.687452380952381,84000
mix,RAHC_random_ref,0.12798813352826824,0.14132631991032038,0.06104761878983414,0.21375675230357366,2.778047619047619,84000
mix,ALR_minvar_ref,0.09280096421609427,0.11013063725450593,0.016723297601869982,0.11444359079793734,1.0910238095238096,84000
mix,ALR_signal_ref,0.09263076093010392,0.1341541053319814,0.2181615354279451,0.3811633766817427,2.567011904761905,84000
mix,ALR_random_ref,0.08303354218881027,0.11952676461416288,0.05643273551524321,0.21130720166427996,1.8119404761904763,84000
mix,ALR_nondiff_ref,0.07971845238094971,0.1021096089277195,0.01801403233010363,0.12123689219358569,0.9492619047619048,84000
mix,ALR_last_ref,0.07954052144249818,0.1040359826309699,0.041534104669157454,0.185520647974569,1.0258928571428572,84000
mix,ILR,0.016000595238095112,0.03842329655421218,0.6583947261733076,0.4357202188021265,1.6396428571428572,84000
abundant,AHC,0.3061583333333332,0.17421967682667322,0.06183551197480256,0.1724410193827399,3.5175595238095236,84000
abundant,RAHC_minvar_ref,0.2922678571428564,0.1748383110751686,0.06768990997429206,0.19321940906557894,3.375095238095238,84000
abundant,RAHC_last_ref,0.27857142857142886,0.17176198487356784,0.05847242461280908,0.1819502620889644,3.194952380952381,84000
abundant,RAHC_nondiff_ref,0.27857142857142886,0.17176198487356784,0.05847242461280908,0.1819502620889644,3.194952380952381,84000
abundant,RAHC_random_ref,0.2621659983291558,0.18233213138571264,0.09047952221240503,0.2518241892397417,5.571940476190476,84000
abundant,CLR,0.23489345238095208,0.16553234640588024,0.03669365000079519,0.1423743026735181,2.6566309523809526,84000
abundant,RAHC_signal_ref,0.2281539090782448,0.22530784780099783,0.6402831832747291,0.42426677371759125,30.421142857142858,84000
abundant,ALR_signal_ref,0.18144592383737668,0.22374306272099104,0.5961348403504192,0.43889475292468394,21.394392857142858,84000
abundant,ALR_minvar_ref,0.16317500000000237,0.1551864589061168,0.034007680580000414,0.1602503707669197,1.862654761904762,84000
abundant,ALR_random_ref,0.15079980854914712,0.15809116121122777,0.07205215122859998,0.2352883726006795,3.1937142857142855,84000
abundant,ALR_last_ref,0.14314880952380837,0.14711385218384315,0.037210243228990365,0.17118302805891467,1.662642857142857,84000
abundant,ALR_nondiff_ref,0.14314880952380837,0.14711385218384315,0.037210243228990365,0.17118302805891467,1.662642857142857,84000
abundant,ILR,0.0895982142857123,0.10610390223116326,0.47163611705755093,0.4099637374433047,2.441797619047619,84000
