diff_otu_direct,diff_otu_mode,depth_mu,depth_theta,covariate_eff_sd,confounder_eff_sd,depth_conf_factor,diff_otu_pct,transformation,mean_power,mean_fdp,sd_power,n_rep
balanced,rare,1000,2,0.5,0,0,0.05,ILR,0.0039999999999999975,0.22,0.02814105882725797,100
balanced,rare,1000,2,0.5,0,0,0.05,RAHC_last_ref,0.023499999999999997,0.08333333333333336,0.07332472401253987,100
balanced,rare,1000,2,0.5,0,0,0.05,RAHC_minvar_ref,0.015999999999999997,0.029999999999999985,0.05453198486885817,100
balanced,rare,1000,2,0.5,0,0,0.05,RAHC_nondiff_ref,0.01599999999999999,0.06333333333333332,0.06149648918286451,100
balanced,rare,1000,2,0.5,0,0,0.05,RAHC_random_ref,0.0039999999999999975,0.09923076923076923,0.028141058827257953,100
balanced,rare,1000,2,0.5,0,0,0.05,RAHC_signal_ref,0.032500000000000015,0.157156862745098,0.09831278675942427,100
balanced,rare,1000,2,0.5,0,0,0.1,AHC,0.037,0.01999999999999999,0.05623723199648314,100
balanced,rare,1000,2,0.5,0,0,0.1,ALR_last_ref,0.04644444444444443,0.07273809523809521,0.07641715118438103,100
balanced,rare,1000,2,0.5,0,0,0.1,ALR_minvar_ref,0.03266666666666665,0.03999999999999997,0.061688831316662286,100
balanced,rare,1000,2,0.5,0,0,0.1,ALR_nondiff_ref,0.033,0.02999999999999998,0.0586979943903925,100
balanced,rare,1000,2,0.5,0,0,0.1,ALR_random_ref,0.02288888888888888,0.09014285714285716,0.05082729966092829,100
balanced,rare,1000,2,0.5,0,0,0.1,ALR_signal_ref,0.09333333333333324,0.24381898107722694,0.13832771027835214,100
balanced,rare,1000,2,0.5,0,0,0.1,CLR,0.046,0.04999999999999998,0.06578200914591109,100
balanced,rare,1000,2,0.5,0,0,0.1,ILR,0.019,0.25,0.046482319871173176,100
balanced,rare,1000,2,0.5,0,0,0.1,RAHC_last_ref,0.025999999999999985,0.014285714285714292,0.0539549446471479,100
balanced,rare,1000,2,0.5,0,0,0.1,RAHC_minvar_ref,0.02477777777777777,0.009999999999999995,0.05359864331685233,100
balanced,rare,1000,2,0.5,0,0,0.1,RAHC_nondiff_ref,0.019999999999999997,0.0049999999999999975,0.047140452079103216,100
balanced,rare,1000,2,0.5,0,0,0.1,RAHC_random_ref,0.008111111111111114,0.038750000000000014,0.027664415145089685,100
balanced,rare,1000,2,0.5,0,0,0.1,RAHC_signal_ref,0.06111111111111107,0.16435084033613448,0.11319592911794107,100
balanced,rare,1000,2,0.5,0,0,0.2,AHC,0.030000000000000002,0.045000000000000005,0.034815531191139545,100
balanced,rare,1000,2,0.5,0,0,0.2,ALR_last_ref,0.0523421052631579,0.10907936507936507,0.06962392431011946,100
balanced,rare,1000,2,0.5,0,0,0.2,ALR_minvar_ref,0.036947368421052645,0.040833333333333374,0.04058582180293334,100
balanced,rare,1000,2,0.5,0,0,0.2,ALR_nondiff_ref,0.027000000000000007,0.06583333333333333,0.036528665926138515,100
balanced,rare,1000,2,0.5,0,0,0.2,ALR_random_ref,0.029263157894736845,0.06316666666666669,0.05204925057919455,100
balanced,rare,1000,2,0.5,0,0,0.2,ALR_signal_ref,0.052631578947368425,0.11907936507936502,0.0685619944504136,100
balanced,rare,1000,2,0.5,0,0,0.2,CLR,0.0425,0.07500000000000001,0.03980698380430198,100
balanced,rare,1000,2,0.5,0,0,0.2,ILR,0.032,0.2033333333333333,0.03296769156111308,100
balanced,rare,1000,2,0.5,0,0,0.2,RAHC_last_ref,0.034,0.08519047619047619,0.05076388416404606,100
balanced,rare,1000,2,0.5,0,0,0.2,RAHC_minvar_ref,0.025657894736842102,0.02999999999999998,0.03387740111950477,100
