term,estimate,std.error,statistic,p.value
(Intercept),0.07849983334531234,0.008912625815756317,8.807711101989186,1.487626226399845e-18
transformationALR_minvar_ref,-0.008327791196074486,0.003182865020850961,-2.61644497693716,0.008898335918958146
transformationCLR,-0.0032910924833650583,0.0031828650208505743,-1.034003158099856,0.30115951762402055
transformationILR,0.40310730614182166,0.003182865020850617,126.64919922808782,0
diff_otu_directunbalanced,0.015947516959046087,0.002250625439844826,7.085815647825265,1.474878152811904e-12
diff_otu_modemix,0.11047255536729916,0.002756441964873484,40.07795439740726,0
diff_otu_modeabundant,0.08238169273291003,0.002756441964873469,29.886967976375175,4.0472100466559484e-188
log10_depth,-0.031455989930349496,0.0021359278227790304,-14.727084686514585,1.380558024515912e-48
depth_theta,9.736133748980136e-6,1.1063415095847303e-4,0.08800296892624622,0.9298760663300014
covariate_eff_sd,0.021158579113498017,0.004501250879689911,4.700599828587119,2.6284008036710247e-6
confounder_eff_sd,NA,NA,NA,NA
depth_conf_factor,NA,NA,NA,NA
