term,estimate,std.error,statistic,p.value
(Intercept),0.2430596948107283,0.0043373204759520265,56.03913664170217,0
transformationALR_minvar_ref,-0.08276264967976726,0.0015489380921526838,-53.43186412618038,0
transformationCLR,-0.035041666666662946,0.0015489380921524956,-22.623025958362856,1.4226081753594994e-110
transformationILR,-0.13340456349206156,0.0015489380921525162,-86.12646571734378,0
diff_otu_directunbalanced,-0.04207219263435545,0.0010952646285991455,-38.41281050787353,2.206614335634188e-301
diff_otu_modemix,0.08358779674880755,0.001341419736693463,62.3129319349718,0
diff_otu_modeabundant,0.173317615218593,0.0013414197366934555,129.20461096376425,0
log10_depth,-0.03748182489075243,0.0010394471474968981,-36.05938501155421,6.556755217016993e-268
depth_theta,3.0641336101462505e-5,5.383999936847259e-5,0.5691184335229642,0.5692884625930879
covariate_eff_sd,0.03936347001763716,0.0021905292571984176,17.969844451190376,4.300695418117131e-71
confounder_eff_sd,NA,NA,NA,NA
depth_conf_factor,NA,NA,NA,NA
